Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Fully specified name:fr,Short name:fr,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:200
,,SNOMED:55889005,Praziquantel,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:52388000,Prednisolone,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:36391008,Primaquine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:74674007,Propofol,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:55745002,Propranolol,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:36944009,Pyridoxine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:47065008,Quinine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:48174005,Ranitidine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:35063004,Ribavirin,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:329260009,Riboflavin,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:29175007,Rifampicin,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:108386000,Risperidone,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:91143003,Salbutamol,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:46741005,Salicylic acid,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:19630009,Silver sulfadiazine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:70379000,Sodium chloride,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:317873006,Sodium nitrite,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:38828006,Sodium thiosulfate,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:777582003,Sofosbuvir,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:13929005,Spironolactone,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:319810009,Streptokinase,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:45844004,Sulfasalazine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:30306003,Thiamine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:349829005,Thiopental,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:85591001,Timolol,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:108507005,Tramadol,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:109006003,Tranexamic acid,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:9190005,Tropicamide,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:47898004,Verapamil,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:48603004,Warfarin,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:76289007,Xylometazoline,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:6625006,Zinc sulfate,,,,,,Drug,N/A,,,,,,,,,,,
