Uuid,Void/Retire,Mappings|SAME-AS|SNOMED,Name,Concept Drug,Concept Dosage Form,Strength,_version:1,_order:200
,,74074008,Atracurium 10 mg/ml,Atracurium,Injection,10 mg/ml,,
,,73949004,Atropine 0.6 mg/ml,Atropine,Injection,0.6 mg/ml,,
,,73949004,Atropine 1 mg/ml,Atropine,Injection,1 mg/ml,,
,,73949004,Atropine 1% drops,Atropine,Drops,1%,,
,,73949004,Atropine 1% ointment,Atropine,Ointment,1%,,
,,111165009,Azathioprine 50 mg,Azathioprine,Tablet,50 mg,,
,,96034006,Azithromycin 250 mg,Azithromycin,Tablet,250 mg,,
,,96034006,Azithromycin 500 mg tablet,Azithromycin,Tablet,500 mg,,
,,96034006,Azithromycin 200 mg/5ml,Azithromycin,Oral solution,200 mg/5ml,,
,,96034006,Azithromycin 500 mg powder for injection,Azithromycin,Powder for injection,500 mg,,
,,25419009,Barium sulfate 100% w/v,Barium sulfate,Oral solution,100% w/v,,
,,25419009,Barium sulfate 250% w/v,Barium sulfate,Oral solution,250% w/v,,
,,354053005,Benzoyl peroxide 2.50%,Benzoyl peroxide,Gel,2.50%,,
,,29896003,Betamethasone 0.05%,Betamethasone,Cream,0.05%,,
,,29896003,Betamethasone 0.10%,Betamethasone,Cream,0.10%,,
,,29896003,Betamethasone 4 mg/ml,Betamethasone,Injection,4 mg/ml,,
,,13565005,Bisacodyl 5 mg tablet,Bisacodyl,Tablet,5 mg,,
,,13565005,Bisacodyl 5 mg suppository,Bisacodyl,Suppository,5 mg,,
,,108622005,Budesonide 100 mcg/dose,Budesonide,Inhalation powder,100 mcg/dose,,
,,108622005,Budesonide 200 mcg/dose,Budesonide,Inhalation powder,200 mcg/dose,,
,,108622005,Budesonide 0.5 mg/ml,Budesonide,Solution,0.5 mg/ml,,
,,108622005,Budesonide 1 mg/ml,Budesonide,Solution,1 mg/ml,,
,,27196008,Bupivacaine 0.50%,Bupivacaine,Injection,0.50%,,
,,27196008,Bupivacaine 0.5% with 7.5% glucose,Bupivacaine,Injection,0.5% with 7.5% glucose,,
,,1434005,Calamine,Calamine,Lotion,,,
,,53691001,Calcium gluconate 100 mg/ml,Calcium gluconate,Injection,100 mg/ml,,
,,14170004,Capreomycin 1 g,Capreomycin,Powder for injection,1 g,,
,,40820003,Carbamazepine 100 mg,Carbamazepine,Tablet,100 mg,,
,,40820003,Carbamazepine 200 mg,Carbamazepine,Tablet,200 mg,,
,,40820003,Carbamazepine 400 mg,Carbamazepine,Tablet,400 mg,,
,,40820003,Carbamazepine 100 mg/5 ml,Carbamazepine,Oral solution,100 mg/5 ml,,
,,40820003,Carbamazepine 200 mg/5 ml,Carbamazepine,Oral solution,200 mg/5 ml,,
,,325325006,Carbimazole 5 mg,Carbimazole,Tablet,5 mg,,
,,325325006,Carbimazole 10 mg,Carbimazole,Tablet,10 mg,,
,,81088002,Cefazolin 500 mg,Cefazolin,Powder for injection,500 mg,,
,,81088002,Cefazolin 1 g,Cefazolin,Powder for injection,1 g,,
,,96052006,Cefixime 200 mg,Cefixime,Tablet,200 mg,,
,,96052006,Cefixime 400 mg,Cefixime,Tablet,400 mg,,
,,96052006,Cefixime 50 mg/5 ml,Cefixime,Oral solution,50 mg/5 ml,,
,,96052006,Cefixime 100 mg/5 ml,Cefixime,Oral solution,100 mg/5 ml,,
,,3334000,Cefotaxime 250 mg,Cefotaxime,Powder for injection,250 mg,,
,,3334000,Cefotaxime 500 mg,Cefotaxime,Powder for injection,500 mg,,
,,3334000,Cefotaxime 1 g,Cefotaxime,Powder for injection,1 g,,
,,36893000,Ceftazidime 250 mg,Ceftazidime,Powder for injection,250 mg,,
,,36893000,Ceftazidime 1 g,Ceftazidime,Powder for injection,1 g,,
,,19841008,Ceftriaxone 250 mg,Ceftriaxone,Powder for injection,250 mg,,
,,19841008,Ceftriaxone 500 mg,Ceftriaxone,Powder for injection,500 mg,,
,,19841008,Ceftriaxone 1 g,Ceftriaxone,Powder for injection,1 g,,
,,108655000,Cetirizine 10 mg,Cetirizine,Tablet,10 mg,,
,,108655000,Cetirizine 5 mg/5 ml,Cetirizine,Oral solution,5 mg/5 ml,,
,,96316004,Chlorhexidine 5%,Chlorhexidine,Solution,5%,,
,,14728000,Chloroquine 150 mg,Chloroquine,Tablet,150 mg,,
,,14728000,Chloroquine 50 mg/5 ml,Chloroquine,Oral solution,50 mg/5 ml,,
,,7577004,Ciprofloxacin 250 mg,Ciprofloxacin,Tablet,250 mg,,
,,7577004,Ciprofloxacin 500 mg,Ciprofloxacin,Tablet,500 mg,,
,,7577004,Ciprofloxacin 250 mg/5ml,Ciprofloxacin,Oral solution,250 mg/5ml,,
,,7577004,Ciprofloxacin 200 mg/100 ml,Ciprofloxacin,Injection,200 mg/100 ml,,
,,7577004,Ciprofloxacin 0.30% drops,Ciprofloxacin,Drops,0.30%,,
,,7577004,Ciprofloxacin 0.30% ointment,Ciprofloxacin,Ointment,0.30%,,
,,72924009,Clofazimine 50 mg,Clofazimine,Oral capsule,50 mg,,
,,72924009,Clofazimine 100 mg,Clofazimine,Oral capsule,100 mg,,
,,96209002,Clomipramine 10 mg,Clomipramine,Oral capsule,10 mg,,
,,96209002,Clomipramine 25 mg,Clomipramine,Oral capsule,25 mg,,
,,96209002,Clomipramine 75 mg,Clomipramine,Oral capsule,75 mg,,
,,69708003,Clonazepam 0.25 mg,Clonazepam,Tablet,0.25 mg,,
,,69708003,Clonazepam 0.5 mg,Clonazepam,Tablet,0.5 mg,,
,,69708003,Clonazepam 1 mg,Clonazepam,Tablet,1 mg,,
,,108979001,Clopidogrel 75 mg,Clopidogrel,Tablet,75 mg,,
,,5797005,Clotrimazole 100 mg,Clotrimazole,Pessary,100 mg,,
,,5797005,Clotrimazole 1% cream,Clotrimazole,Cream,1%,,
,,5797005,Clotrimazole 1% drops,Clotrimazole,Drops,1%,,
,,68422006,Cloxacillin 250 mg oral capsule,Cloxacillin,Oral capsule,250 mg,,
,,68422006,Cloxacillin 500 mg,Cloxacillin,Oral capsule,500 mg,,
,,68422006,Cloxacillin 125 mg/5 ml,Cloxacillin,Oral solution,125 mg/5 ml,,
,,68422006,Cloxacillin 250 mg powder for injection,Cloxacillin,Powder for injection,250 mg,,
,,6071000,Coal tar 5%,Coal tar,Solution,5%,,
,,73133000,Colchicine 0.5 mg,Colchicine,Tablet,0.5 mg,,
,,17308007,Dapsone 25 mg,Dapsone,Tablet,25 mg,,
,,17308007,Dapsone 50 mg,Dapsone,Tablet,50 mg,,
,,17308007,Dapsone 100 mg,Dapsone,Tablet,100 mg,,
,,70702006,Deferoxamine 500 mg,Deferoxamine,Powder for injection,500 mg,,
,,7561000,Dexamethasone 0.5 mg,Dexamethasone,Tablet,0.5 mg,,
,,7561000,Dexamethasone 4 mg/ml,Dexamethasone,Injection,4 mg/ml,,
,,48546005,Diazepam 2 mg/5 ml,Diazepam,Oral solution,2 mg/5 ml,,
,,48546005,Diazepam 5 mg/ml,Diazepam,Injection,5 mg/ml,,
,,48546005,Diazepam 5 mg,Diazepam,Suppository,5 mg,,
,,60731009,Diethylcarbamazine 50 mg,Diethylcarbamazine,Tablet,50 mg,,
,,60731009,Diethylcarbamazine 100 mg,Diethylcarbamazine,Tablet,100 mg,,
,,60731009,Diethylcarbamazine 120 mg/5 ml,Diethylcarbamazine,Oral solution,120 mg/5 ml,,
,,796001,Digoxin 0.25 mg,Digoxin,Tablet,0.25 mg,,
,,796001,Digoxin 0.05 mg/ml,Digoxin,Oral solution,0.05 mg/ml,,
,,796001,Digoxin 0.25 mg/ml,Digoxin,Injection,0.25 mg/ml,,
,,59187003,Dopamine 40 mg/ml,Dopamine,Injection,40 mg/ml,,
,,10504007,Doxycycline 100 mg,Doxycycline,Oral capsule,100 mg,,
,,15222008,Enalapril 2.5 mg,Enalapril,Tablet,2.5 mg,,
,,15222008,Enalapril 5 mg,Enalapril,Tablet,5 mg,,
,,108984007,Enoxaparin 40 mg/0.4 ml,Enoxaparin,Injection,40 mg/0.4 ml,,
,,108984007,Enoxaparin 60 mg/0.6 ml,Enoxaparin,Injection,60 mg/0.6 ml,,
,,416248007,Entecavir 0.5 mg,Entecavir,Tablet,0.5 mg,,
,,416248007,Entecavir 1 mg,Entecavir,Tablet,1 mg,,
,,65502005,Epinephrine 1 mg/ml,Epinephrine,Injection,1 mg/ml,,
,,108964008,Epoetin alfa 2000 IU/ml,Epoetin alfa,Injection,2000 IU/ml,,
,,108964008,Epoetin alfa 10000 IU/ml,Epoetin alfa,Injection,10000 IU/ml,,
,,30427009,Erythromycin 0.50%,Erythromycin,Ointment,0.50%,,
,,395246009,Escitalopram 5 mg,Escitalopram,Tablet,5 mg,,
,,395246009,Escitalopram 10 mg,Escitalopram,Tablet,10 mg,,
,,395246009,Escitalopram 20 mg,Escitalopram,Tablet,20 mg,,
,,40648001,Fentanyl 50 mcg/ml,Fentanyl,Injection,50 mcg/ml,,
,,31865003,Fluconazole 100 mg,Fluconazole,Tablet,100 mg,,
,,31865003,Fluconazole 50 mg,Fluconazole,Tablet,50 mg,,
,,31865003,Fluconazole 150 mg,Fluconazole,Tablet,150 mg,,
,,31865003,Fluconazole 200 mg,Fluconazole,Tablet,200 mg,,
,,31865003,Fluconazole 400 mg,Fluconazole,Tablet,400 mg,,
,,31865003,Fluconazole 50 mg/5 ml,Fluconazole,Oral solution,50 mg/5 ml,,
,,31865003,Fluconazole 200 mg /100 ml,Fluconazole,Injection,200 mg /100 ml,,
,,350086004,Fluorescein 1%,Fluorescein,Drops,1%,,
,,53640004,Fluoxetine 10 mg,Fluoxetine,Oral capsule,10 mg,,
,,53640004,Fluoxetine 20 mg,Fluoxetine,Oral capsule,20 mg,,
,,53640004,Fluoxetine 40 mg,Fluoxetine,Oral capsule,40 mg,,
,,53640004,Fluoxetine 60 mg,Fluoxetine,Oral capsule,60 mg,,
,,226316008,Folic acid 5 mg,Folic acid,Tablet,5 mg,,
,,81609008,Furosemide 40 mg,Furosemide,Tablet,40 mg,,
,,81609008,Furosemide 10 mg/ml,Furosemide,Oral solution,10 mg/ml,,
,,81609008,Furosemide 10 mg/ ml,Furosemide,Injection,10 mg/ ml,,
,,57752001,Gentamicin 10 mg/ml,Gentamicin,Injection,10 mg/ml,,
,,57752001,Gentamicin 40 mg/ml,Gentamicin,Injection,40 mg/ml,,
,,57752001,Gentamicin 0.30%,Gentamicin,Drops,0.30%,,
,,332445003,Glutaral 2%,Glutaral,Solution,2%,,
,,64349004,Griseofulvin 125 mg,Griseofulvin,Tablet,125 mg,,
,,64349004,Griseofulvin 250 mg,Griseofulvin,Tablet,250 mg,,
,,64349004,Griseofulvin 375 mg,Griseofulvin,Tablet,375 mg,,
,,82264009,Homatropine 2%,Homatropine,Drops,2%,,
,,91667005,Hydrochlorothiazide 12.5 mg,Hydrochlorothiazide,Tablet,12.5 mg,,
,,91667005,Hydrochlorothiazide 25 mg,Hydrochlorothiazide,Tablet,25 mg,,
,,91667005,Hydrochlorothiazide 50 mg,Hydrochlorothiazide,Tablet,50 mg,,
,,16602005,Hydrocortisone 100 mg powder for injection,Hydrocortisone,Powder for injection,100 mg,,
,,16602005,Hydrocortisone 5 mg,Hydrocortisone,Tablet,5 mg,,
,,16602005,Hydrocortisone 10 mg,Hydrocortisone,Tablet,10 mg,,
,,16602005,Hydrocortisone 100 mg/ml,Hydrocortisone,Injection,100 mg/ml,,
,,16602005,Hydrocortisone 100 mg injection,Hydrocortisone,Injection,100 mg,,
,,16602005,Hydrocortisone 200 mg,Hydrocortisone,Injection,200 mg,,
,,327529002,Hydroxocobalamin 1 mg/ml,Hydroxocobalamin,Injection,1 mg/ml,,
,,83490000,Hydroxychloroquine 200 mg,Hydroxychloroquine,Tablet,200 mg,,
,,83490000,Hydroxychloroquine 400 mg,Hydroxychloroquine,Tablet,400 mg,,
,,72870001,Hyoscine butylbromide 10 mg,Hyoscine butylbromide,Tablet,10 mg,,
,,72870001,Hyoscine butylbromide 20 mg/ml,Hyoscine butylbromide,Injection,20 mg/ml,,
,,38268001,Ibuprofen 200 mg,Ibuprofen,Tablet,200 mg,,
,,38268001,Ibuprofen 400 mg,Ibuprofen,Tablet,400 mg,,
,,38268001,Ibuprofen 100 mg/5 ml,Ibuprofen,Oral solution,100 mg/5 ml,,
,,109218004,Iohexol 140 mg iodine/ml,Iohexol,Injection,140 mg iodine/ml,,
,,109218004,Iohexol 350 mg iodine/ml,Iohexol,Injection,350 mg iodine/ml,,
,,66492008,Isoflurane,Isoflurane,,,,
,,5924003,Isosorbide dinitrate 5 mg,Isosorbide dinitrate,Tablet,5 mg,,
,,5924003,Isosorbide dinitrate 10 mg,Isosorbide dinitrate,Tablet,10 mg,,
,,333847008,Ketamine 10 mg/ml,Ketamine,Injection,10 mg/ml,,
,,333847008,Ketamine 50 mg/ml,Ketamine,Injection,50 mg/ml,,
,,111137007,Lactulose 10 g/15 ml,Lactulose,Oral solution,10 g/15 ml,,
,,109032009,Levonorgestrel 0.75 mg,Levonorgestrel,Tablet,0.75 mg,,
,,82573000,Lidocaine 2-5%,Lidocaine,Gel,2-5%,,
,,82573000,Lidocaine 1%,Lidocaine,Injection,1%,,
,,82573000,Lidocaine 2%,Lidocaine,Injection,2%,,
,,82573000,Lidocaine 5% with 7.5% Glucose,Lidocaine,Injection,5% with 7.5% Glucose,,
,,82573000,Lidocaine 4%,Lidocaine,Drops,4%,,
,,19225000,Lorazepam 1 mg,Lorazepam,Tablet,1 mg,,
,,19225000,Lorazepam 2 mg,Lorazepam,Tablet,2 mg,,
,,19225000,Lorazepam 2 mg/ml,Lorazepam,Injection,2 mg/ml,,
,,37400007,Magnesium sulfate 500 mg/ml,Magnesium sulfate,Injection,500 mg/ml,,
,,30761007,Mannitol 10%,Mannitol,Injection,10%,,
,,30761007,Mannitol 20%,Mannitol,Injection,20%,,
,,56059005,Mebendazole 100 mg,Mebendazole,Tablet,100 mg,,
,,56059005,Mebendazole 100 mg/5 ml,Mebendazole,Oral solution,100 mg/5 ml,,
,,109081006,Metformin 500 mg,Metformin,Tablet,500 mg,,
,,109081006,Metformin 750 mg,Metformin,Tablet,750 mg,,
,,109081006,Metformin 1000 mg,Metformin,Tablet,1000 mg,,
,,68887009,Methotrexate 5 mg,Methotrexate,Tablet,5 mg,,
,,68887009,Methotrexate 7.5 mg,Methotrexate,Tablet,7.5 mg,,
,,68887009,Methotrexate 10 mg,Methotrexate,Tablet,10 mg,,
,,68887009,Methotrexate 25 mg/ ml,Methotrexate,Injection,25 mg/ ml,,
,,84078002,Methyldopa 250 mg,Methyldopa,Tablet,250 mg,,
,,84078002,Methyldopa 500 mg,Methyldopa,Tablet,500 mg,,
,,27242001,Methylprednisolone 8 mg,Methylprednisolone,Tablet,8 mg,,
,,27242001,Methylprednisolone 16 mg,Methylprednisolone,Tablet,16 mg,,
,,27242001,Methylprednisolone 32 mg,Methylprednisolone,Tablet,32 mg,,
,,27242001,Methylprednisolone 40 mg/ml,Methylprednisolone,Injection,40 mg/ml,,
,,7092007,Metoprolol 25 mg tablet,Metoprolol,Tablet,25 mg,,
,,7092007,Metoprolol 50 mg tablet,Metoprolol,Tablet,50 mg,,
,,7092007,Metoprolol 25 mg sustained-release tablet,Metoprolol,Sustained-release tablet,25 mg,,
,,7092007,Metoprolol 50 mg sustained-release tablet,Metoprolol,Sustained-release tablet,50 mg,,
,,1222004,Metronidazole 200 mg,Metronidazole,Tablet,200 mg,,
,,1222004,Metronidazole 200 mg/5 ml,Metronidazole,Oral solution,200 mg/5 ml,,
,,1222004,Metronidazole 500 mg/100 ml,Metronidazole,Injection,500 mg/100 ml,,
,,1222004,Metronidazole 400 mg,Metronidazole,Tablet,400 mg,,
,,26800000,Midazolam 7.5 mg,Midazolam,Tablet,7.5 mg,,
,,26800000,Midazolam 15 mg,Midazolam,Tablet,15 mg,,
,,26800000,Midazolam 2 mg/ml,Midazolam,Oral solution,2 mg/ml,,
,,26800000,Midazolam 1 mg/ml,Midazolam,Injection,1 mg/ml,,
,,26800000,Midazolam 5 mg/ml,Midazolam,Injection,5 mg/ml,,
,,43684009,Misoprostol 100 mcg,Misoprostol,Tablet,100 mcg,,
,,43684009,Misoprostol 200 mcg,Misoprostol,Tablet,200 mcg,,
,,73572009,Morphine 10 mg/ml,Morphine,Injection,10 mg/ml,,
,,73572009,Morphine 15 mg/ml,Morphine,Injection,15 mg/ml,,
,,73572009,Morphine 10 mg,Morphine,Tablet,10 mg,,
,,89018006,Naloxone 0.4 mg/ml,Naloxone,Injection,0.4 mg/ml,,
,,80024007,Neostigmine 0.5 mg/ml,Neostigmine,Injection,0.5 mg/ml,,
,,80024007,Neostigmine 15 mg,Neostigmine,Tablet,15 mg,,
,,85272000,Nifedipine 10 mg,Nifedipine,Tablet,10 mg,,
,,85343003,Nitrofurantoin 100 mg,Nitrofurantoin,Tablet,100 mg,,
,,85343003,Nitrofurantoin 25 mg/5 ml,Nitrofurantoin,Oral solution,25 mg/5 ml,,
,,388185005,Nitrous oxide,Nitrous oxide,Gas,,,
,,25673006,Omeprazole 10 mg,Omeprazole,Oral capsule,10 mg,,
,,25673006,Omeprazole 20 mg,Omeprazole,Oral capsule,20 mg,,
,,108418007,Ondansetron 4 mg,Ondansetron,Tablet,4 mg,,
,,108418007,Ondansetron 2 mg/5 ml,Ondansetron,Oral solution,2 mg/5 ml,,
,,108418007,Ondansetron 2 mg/ml,Ondansetron,Injection,2 mg/ml,,
,,,Oral rehydration salts,Oral rehydration salts,,,,
,,767111007,Oxygen,Oxygen,Gas,,,
,,12369008,Oxytocin 5 IU/ml,Oxytocin,Injection,5 IU/ml,,
,,12369008,Oxytocin 10 IU/ml,Oxytocin,Injection,10 IU/ml,,
,,1887004,Permethrin 1%,Permethrin,Lotion,1%,,
,,1887004,Permethrin 5%,Permethrin,Cream,5%,,
,,51073002,Phenobarbital 30 mg,Phenobarbital,Tablet,30 mg,,
,,51073002,Phenobarbital 60 mg,Phenobarbital,Tablet,60 mg,,
,,51073002,Phenobarbital 20 mg/5 ml,Phenobarbital,Oral solution,20 mg/5 ml,,
,,51073002,Phenobarbital 200 mg/ml,Phenobarbital,Injection,200 mg/ml,,
,,40556005,Phenytoin 50 mg,Phenytoin,Tablet,50 mg,,
,,40556005,Phenytoin 100 mg,Phenytoin,Tablet,100 mg,,
,,40556005,Phenytoin 300 mg tablet,Phenytoin,Tablet,300 mg,,
,,40556005,Phenytoin 300 mg enteric-coated tablet,Phenytoin,Enteric-coated tablet,300 mg,,
,,40556005,Phenytoin 30 mg/5 ml,Phenytoin,Oral solution,30 mg/5 ml,,
,,40556005,Phenytoin 125 mg/5 ml,Phenytoin,Oral solution,125 mg/5 ml,,
,,40556005,Phenytoin 25 mg/ml,Phenytoin,Injection,25 mg/ml,,
,,40556005,Phenytoin 50 mg/ml,Phenytoin,Injection,50 mg/ml,,
,,90356005,Pilocarpine 2%,Pilocarpine,Drops,2%,,
,,90356005,Pilocarpine 4%,Pilocarpine,Drops,4%,,
,,420155008,Potassium chloride 150 mg/ml,Potassium chloride,Injection,150 mg/ml,,
,,420155008,Potassium chloride 500 mg/5 ml,Potassium chloride,Oral solution,500 mg/5 ml,,
,,767365002,Potassium permanganate,Potassium permanganate,Crystals,,,
,,55889005,Praziquantel 600 mg,Praziquantel,Tablet,600 mg,,
,,52388000,Prednisolone 5 mg,Prednisolone,Tablet,5 mg,,
,,52388000,Prednisolone 10 mg,Prednisolone,Tablet,10 mg,,
,,52388000,Prednisolone 5 mg/5 ml,Prednisolone,Oral solution,5 mg/5 ml,,
,,52388000,Prednisolone 15 mg/5 ml,Prednisolone,Oral solution,15 mg/5 ml,,
,,52388000,Prednisolone 20 mg,Prednisolone,Tablet,20 mg,,
,,52388000,Prednisolone 0.10%,Prednisolone,Drops,0.10%,,
,,52388000,Prednisolone 1%,Prednisolone,Drops,1%,,
,,36391008,Primaquine 2.5 mg,Primaquine,Tablet,2.5 mg,,
,,36391008,Primaquine 7.5 mg,Primaquine,Tablet,7.5 mg,,
,,36391008,Primaquine 15 mg,Primaquine,Tablet,15 mg,,
,,74674007,Propofol 10 mg/ml,Propofol,Injection,10 mg/ml,,
,,55745002,Propranolol 40 mg,Propranolol,Tablet,40 mg,,
,,55745002,Propranolol 10 mg,Propranolol,Tablet,10 mg,,
,,55745002,Propranolol 80 mg,Propranolol,Tablet,80 mg,,
,,787540009,Pyridoxine 10 mg,Pyridoxine,Tablet,10 mg,,
,,787540009,Pyridoxine 50 mg,Pyridoxine,Tablet,50 mg,,
,,787540009,Pyridoxine 100 mg,Pyridoxine,Tablet,100 mg,,
,,47065008,Quinine 300 mg,Quinine,Tablet,300 mg,,
,,47065008,Quinine 300 mg/ml,Quinine,Injection,300 mg/ml,,
,,48174005,Ranitidine 150 mg,Ranitidine,Tablet,150 mg,,
,,48174005,Ranitidine 75 mg/5 ml,Ranitidine,Oral solution,75 mg/5 ml,,
,,48174005,Ranitidine 25 mg/ml,Ranitidine,Injection,25 mg/ml,,
,,35063004,Ribavirin 200 mg,Ribavirin,Oral capsule,200 mg,,
,,787527004,Riboflavin 5 mg,Riboflavin,Tablet,5 mg,,
,,29175007,Rifampicin 150 mg,Rifampicin,Oral capsule,150 mg,,
,,29175007,Rifampicin 300 mg,Rifampicin,Oral capsule,300 mg,,
,,108386000,Risperidone 2 mg,Risperidone,Tablet,2 mg,,
,,108386000,Risperidone 4 mg,Risperidone,Tablet,4 mg,,
,,108386000,Risperidone 1 mg,Risperidone,Tablet,1 mg,,
,,108386000,Risperidone 1 mg/ml,Risperidone,Oral solution,1 mg/ml,,
,,91143003,Salbutamol 2 mg,Salbutamol,Tablet,2 mg,,
,,91143003,Salbutamol 4 mg,Salbutamol,Tablet,4 mg,,
,,91143003,Salbutamol 2 mg/5 ml,Salbutamol,Oral solution,2 mg/5 ml,,
,,91143003,Salbutamol 100 mcg/dose,Salbutamol,Inhalation powder,100 mcg/dose,,
,,91143003,Salbutamol 5mg/ml,Salbutamol,Solution,5mg/ml,,
,,46741005,Salicylic acid 6%,Salicylic acid,Ointment,6%,,
,,19630009,Silver sulfadiazine 1%,Silver sulfadiazine,Cream,1%,,
,,70379000,Sodium chloride 0.90%,Sodium chloride,Injection,0.90%,,
,,70379000,Sodium chloride 0.45%,Sodium chloride,Injection,0.45%,,
,,70379000,Sodium chloride 3%,Sodium chloride,Injection,3%,,
,,317873006,Sodium nitrite 30 mg/ml,Sodium nitrite,Injection,30 mg/ml,,
,,38828006,Sodium thiosulfate 100 mg/ml,Sodium thiosulfate,Injection,100 mg/ml,,
,,713645002,Sofosbuvir 400 mg,Sofosbuvir,Tablet,400 mg,,
,,13929005,Spironolactone 25 mg,Spironolactone,Tablet,25 mg,,
,,13929005,Spironolactone 50 mg,Spironolactone,Tablet,50 mg,,
,,319810009,"Streptokinase 750,000 IU",Streptokinase,Injection,"750,000 IU",,
,,319810009,"Streptokinase 15,00,000 IU",Streptokinase,Injection,"15,00,000 IU",,
,,45844004,Sulfasalazine 500 mg,Sulfasalazine,Tablet,500 mg,,
,,30306003,Thiamine 100 mg,Thiamine,Tablet,100 mg,,
,,30306003,Thiamine 100 mg/ml,Thiamine,Injection,100 mg/ml,,
,,349829005,Thiopental 0.5 g,Thiopental,Powder for injection,0.5 g,,
,,349829005,Thiopental 1 g,Thiopental,Powder for injection,1 g,,
,,85591001,Timolol 0.25%,Timolol,Drops,0.25%,,
,,85591001,Timolol 0.50%,Timolol,Drops,0.50%,,
,,108507005,Tramadol 50 mg,Tramadol,Oral capsule,50 mg,,
,,108507005,Tramadol 100 mg,Tramadol,Oral capsule,100 mg,,
,,108507005,Tramadol 50 mg/ml,Tramadol,Injection,50 mg/ml,,
,,109006003,Tranexamic acid 500 mg,Tranexamic acid,Tablet,500 mg,,
,,109006003,Tranexamic acid 100 mg/ml,Tranexamic acid,Injection,100 mg/ml,,
,,9190005,Tropicamide 1% eye drop,Tropicamide,Drops,1%,,
,,9190005,Tropicamide 1% drops,Tropicamide,Drops,1%,,
,,47898004,Verapamil 40 mg,Verapamil,Tablet,40 mg,,
,,47898004,Verapamil 80 mg,Verapamil,Tablet,80 mg,,
,,47898004,Verapamil 2.5 mg/ml,Verapamil,Injection,2.5 mg/ml,,
,,48603004,Warfarin 1 mg,Warfarin,Tablet,1 mg,,
,,48603004,Warfarin 2 mg,Warfarin,Tablet,2 mg,,
,,48603004,Warfarin 3 mg,Warfarin,Tablet,3 mg,,
,,48603004,Warfarin 5 mg,Warfarin,Tablet,5 mg,,
,,76289007,Xylometazoline 0.05%,Xylometazoline,Nasal solution,0.05%,,
,,76289007,Xylometazoline 0.10%,Xylometazoline,Nasal solution,0.10%,,
,,6625006,Zinc sulphate 20 mg,Zinc sulfate,Disintegrating tablet,20 mg,,
