uuid,name,description,class,datatype,shortname,reference-term-source,reference-term-code,reference-term-relationship,synonym.1,synonym.2,synonym.3,answer.1
,Trachoma,,Diagnosis,N/A,,,,,,,,
,Cataract,,Diagnosis,N/A,,,,,,,,
,Blindness,,Diagnosis,N/A,,,,,,,,
,Refractive error,,Diagnosis,N/A,,,,,,,,
,Glaucoma,,Diagnosis,N/A,,,,,,,,
,Colour blindness,,Diagnosis,N/A,,,,,,,,
,Exophthalmos,,Diagnosis,N/A,,,,,,,,
,Sty,,Diagnosis,N/A,,,,,,,,
,Chalazion,,Diagnosis,N/A,,,,,,,,
,Pterygium,,Diagnosis,N/A,,,,,,,,
,Diabetic retinopathy,,Diagnosis,N/A,,,,,,,,
,Hypertensive retinopathy,,Diagnosis,N/A,,,,,,,,
,Entropion,,Diagnosis,N/A,,,,,,,,
,Ectropion,,Diagnosis,N/A,,,,,,,,
,Traumatic eye disease,,Diagnosis,N/A,,,,,,,,
,Uveitis,,Diagnosis,N/A,,,,,,,,
,Age related macular degeneration,,Diagnosis,N/A,,,,,,,,
,Amblyopia,,Diagnosis,N/A,,,,,Lazy eye,,,
,Squint,,Diagnosis,N/A,,,,,,,,
,Retinitis pigmentosa,,Diagnosis,N/A,,,,,,,,
,Night blindness,,Diagnosis,N/A,,,,,Visual disturbance,,,
,Retinoblastoma,,Diagnosis,N/A,,,,,,,,
,Ectopic Pregnancy,,Diagnosis,N/A,,,,,,,,
,Abortion Complication,,Diagnosis,N/A,,,,,,,,
,Pregnancy Induced Hypertension,,Diagnosis,N/A,PIH,,,,,,,
,Pre‐eclampsia,,Diagnosis,N/A,,,,,Severe pre‐eclampsia,,,
,Antepartum Eclampsia,,Diagnosis,N/A,,,,,,,,
,Intrapartum Eclampsia,,Diagnosis,N/A,,,,,,,,
,Postpartum Eclampsia,,Diagnosis,N/A,,,,,,,,
,Hyperemesis Grivadarum,,Diagnosis,N/A,,,,,,,,
,Antepartum Haemorrhage,,Diagnosis,N/A,,,,,,,,
,Prolonged labour,,Diagnosis,N/A,,,,,,,,
,Obstructed Labor,,Diagnosis,N/A,,,,,,,,
,Ruptured Uterus,,Diagnosis,N/A,,,,,,,,
,Postpartum Haemorrhage,,Diagnosis,N/A,,,,,,,,
,Retained Placenta,,Diagnosis,N/A,,,,,,,,
,Other Complications of labor and delivery,,Diagnosis,N/A,,,,,,,,
,Pueperal Sepsis,,Diagnosis,N/A,,,,,,,,
,Pelvic Inflammatory Disease,,Diagnosis,N/A,PID,,,,,,,
,Prolapsed uterus,,Diagnosis,N/A,,,,,,,,
,Menstrual disorder,,Diagnosis,N/A,,,,,,,,
,Dysfunctional Uterine Bleeding,,Diagnosis,N/A,DUB,,,,,,,
,Sub‐fertility (Female),,Diagnosis,N/A,,,,,,,,
,Sub‐fertility (Male),,Diagnosis,N/A,,,,,Infertility(Male),,,
,Dementia,,Diagnosis,N/A,,,,,,,,
,Addiction,,Diagnosis,N/A,,,,,Alcoholism,Dipsomania,Drug Addiction,
,Schizophrenia,,Diagnosis,N/A,,,,,,,,
,Psychosis,,Diagnosis,N/A,,,,,,,,
,Bipolar affective disorder,,Diagnosis,N/A,,,,,,,,
,Depression,,Diagnosis,N/A,,,,,,,,
,Phobic Anxiety,,Diagnosis,N/A,,,,,,,,
,Other Anxiety,,Diagnosis,N/A,,,,,,,,
,Obsessive-compulsive disorder,,Diagnosis,N/A,,,,,,,,
,Conversive disorder,,Diagnosis,N/A,,,,,Hysteria,,,
,Neurosis,,Diagnosis,N/A,,,,,,,,
,Mental retardation,,Diagnosis,N/A,,,,,,,,
,Epilepsy,,Diagnosis,N/A,,,,,,,,
,Migraine,,Diagnosis,N/A,,,,,,,,
,Mental illness,,Diagnosis,N/A,,,,,Mental disorder,,,
,Breast cancer,,Diagnosis,N/A,,,,,,,,
,Cervical Cancer,,Diagnosis,N/A,,,,,Uteri cancer,,,
,Lung Cancer,,Diagnosis,N/A,,,,,Brunchial Cancer,,,
,Oesophagus cancer,,Diagnosis,N/A,,,,,,,,
,Stomach cancer,,Diagnosis,N/A,,,,,,,,
,Thyroid cancer,,Diagnosis,N/A,,,,,,,,
,Liver cancer,,Diagnosis,N/A,,,,,,,,
,Pancreatic cancer,,Diagnosis,N/A,,,,,,,,
,Bone  marrow cancer,,Diagnosis,N/A,,,,,,,,
,Gall bladder cancer,,Diagnosis,N/A,,,,,,,,
,Colorectal cancer,,Diagnosis,N/A,,,,,Colon with rectum cancer,,,
,Oral cancer,,Diagnosis,N/A,,,,,,,,
,Lymphoma cancer,,Diagnosis,N/A,,,,,,,,
,Ovary cancer,,Diagnosis,N/A,,,,,,,,
,Urinary bladder cancer,,Diagnosis,N/A,,,,,,,,
,Nasopharyngeal cancer,,Diagnosis,N/A,,,,,,,,
,Head & neck cancer,,Diagnosis,N/A,,,,,,,,
,Other Cancer,,Diagnosis,N/A,,,,,,,,
,Hypertension,,Diagnosis,N/A,,,,,,,,
,Congestive heart failure ,,Diagnosis,N/A,,,,,,,,
,Cardiac heart failure,,Diagnosis,N/A,,,,,,,,
,Chronic Obstructive Pulmonary Disease,,Diagnosis,N/A,COPD,,,,,,,
,Acute rheumatic fever,,Diagnosis,N/A,,,,,,,,
,Rheumatic heart disease,,Diagnosis,N/A,RHD,,,,,,,
,Ischemic heart disease,,Diagnosis,N/A,,,,,,,,
,Other cardiovascular problems,,Diagnosis,N/A,,,,,,,,
,Bronchial asthma,,Diagnosis,N/A,,,,,,,,
,Acute Renal failure,,Diagnosis,N/A,,,,,,,,
,Chronic Renal failure,,Diagnosis,N/A,,,,,,,,
,Nephritis,,Diagnosis,N/A,,,,,,,,
,Nephrotic syndrome,,Diagnosis,N/A,,,,,,,,
,Headache,,Diagnosis,N/A,,,,,,,,
,Pyrexia of Unknown Origin,,Diagnosis,N/A,PUO,,,,,,,
,Gastritis,,Diagnosis,N/A,APD,,,,,,,
,Insect bite,,Diagnosis,N/A,,,,,Wasp bite,,,
,Abdominal Pain,,Diagnosis,N/A,,,,,,,,
,Cirrhosis of liver,,Diagnosis,N/A,,,,,,,,
,Burns and Scalds,,Diagnosis,N/A,,,,,,,,
,Toxic Effect,,Diagnosis,N/A,,,,,,,,
,Dog Bite,,Diagnosis,N/A,,,,,,,,
,Other rabies susceptible animal bite,,Diagnosis,N/A,,,,,,,,
,Snake bite: Poisonous,,Diagnosis,N/A,,,,,,,,
,Snake bite: Non‐poisonous,,Diagnosis,N/A,,,,,,,,
,Physical Disability,,Diagnosis,N/A,,,,,Disabled Person,,,
,Falls,,Diagnosis,N/A,,,,,Injuries,Fractures,,
,Road Traffic Accident,,Diagnosis,N/A,RTA,,,,,,,
,Rheumatoid arthritis,,Diagnosis,N/A,,,,,,,,
,Arthritis,,Diagnosis,N/A,,,,,,,,
,Osteo arthrosis,,Diagnosis,N/A,,,,,,,,
,Back ache,,Diagnosis,N/A,,,,,Musculo‐skeletal pain,,,
,Acid peptic disorders,,Diagnosis,N/A,,,,,,,,
,Anal Fissure,,Diagnosis,N/A,,,,,,,,
,Anal fistula,,Diagnosis,N/A,,,,,,,,
,Fistula of Intestine,,Diagnosis,N/A,,,,,,,,
,Renal stones,,Diagnosis,N/A,,,,,,,,
,Breast lumps,,Diagnosis,N/A,,,,,Adenoma,,,
,Mastitis,,Diagnosis,N/A,,,,,Breast abscess,Ignored breast,,
,Mastalgia breast,,Diagnosis,N/A,,,,,,,,
,Lumps,,Diagnosis,N/A,,,,,Lipoma,,,
,Sebaceous cyst,,Diagnosis,N/A,,,,,,,,
,Pilonidal sinus,,Diagnosis,N/A,,,,,,,,
,Appendicitis,,Diagnosis,N/A,,,,,,,,
,Cholecystitis,,Diagnosis,N/A,,,,,,,,
,Cholelithiasis,,Diagnosis,N/A,,,,,Gall stone,,,
,Hernia,,Diagnosis,N/A,,,,,,,,
,Hydrocoele,,Diagnosis,N/A,,,,,,,,
,Phimosis,,Diagnosis,N/A,,,,,Para‐phimosis,,,
,Haemorrhoids,,Diagnosis,N/A,,,,,Piles,,,
,Epididymitis,,Diagnosis,N/A,,,,,Orchitis,,,
,Prostatism,,Diagnosis,N/A,,,,,BEP,BPH,,
,Not mentioned above and other,,Diagnosis,N/A,,,,,,,,
