"uuid","name","description","class","shortname","datatype","units","High Normal","Low Normal","Allow Decimal","locale","synonym.1","answer.1","answer.2","answer.3","answer.4","answer.5","answer.6","answer.7","answer.8","answer.9","reference-term-source","reference-term-code","reference-term-relationship","reference-term-source","reference-term-code","reference-term-relationship"
"d7582c80-03b0-43ee-a44d-d2d4aac09895","Delivery Note, Chlorhexidine applied on cord",,"Misc","Chlorhexidine applied on cord","Boolean",,,,,,"","","","","","","","","","",,,,,,
"1e4fcc2e-30fe-4e97-81f4-7c5c6ff90e90","Delivery Note-Neonate weight",,"Misc","Neonate weight","Numeric",,,,,,"","","","","","","","","","",,,,,,
"aa771e9c-437d-4f90-9200-cd8e26fbec6a","Small infant",,"Misc","Small infant","N/A",,,,,,"","","","","","","","","","",,,,,,
"bab02365-f77f-4705-a2c6-7ae4a7d67949","Large infant",,"Misc","Large infant","N/A",,,,,,"","","","","","","","","","",,,,,,
"b92b5e22-2e66-4a7d-ae8e-f36d2d5e8519","NBA-Neonate size","Low birth weight (small infant) is weight less than 2500 grams. Large infant is weight greater than 4000 grams","Misc","Neonate size","Coded",,,,,,"","Small infant","Large infant","","","","","","","",,,,,,
"ccbbaa66-3951-45a4-987a-fa697d141a0e","Temperature",,"Misc","Temperature","Numeric",,,,,,"","","","","","","","","","",,,,,,
"80656494-b9b2-4935-b209-c67dc0ab4ca1","Heart rate",,"Misc","Heart rate","Numeric",,,,,,"","","","","","","","","","",,,,,,
"2508503e-5b73-40b0-ace8-1ae40b8e451c","Heart rate abnormal",,"Abnormal","Heart rate abnormal","Boolean",,,,,,"","","","","","","","","","",,,,,,
"5292d989-f892-4c67-82ec-ac060f5c2292","Respiratory rate","(Match RR with age group and if increased prompt ARI section)				 (<50 for 2-12 months, <40 for 1-5 years)","Misc","Respiratory rate","Numeric",,,,,,"","","","","","","","","","",,,,,,
"ea009666-1247-47a6-b176-a9ce560a07d9","Premature birth",,"Misc","Premature birth","Boolean",,,,,,"","","","","","","","","","",,,,,,
"be2f3887-b376-4110-930b-8ef3576435d6","Hypoglycemia risk factor",,"Misc","Hypoglycemia risk factor","Boolean",,,,,,"","","","","","","","","","",,,,,,
"74997fd2-e078-4a5c-99e3-56ae30da2929","Hyperbilirubinemia risk factor","Risk factors include premature birth, cephalohematoma, ABO/Rh incompatibility","Misc","Hyperbilirubinemia risk factor","Boolean",,,,,,"","","","","","","","","","",,,,,,
"b01e158c-23d2-40e9-8d06-42971bb67e89","NBA-Routine care and counseling","Counsel parents/guardians for;<li> Discuss danger signs <li>Discuss proper umbilical cord care <li>Discuss effective breastfeeding <li>Discuss immunization.","Misc","Routine care and counseling","Boolean",,,,,,"","","","","","","","","","",,,,,,
