"uuid","name","description","class","shortname","datatype","units","High Normal","Low Normal","Allow Decimal","locale","synonym.1","answer.1","answer.2","answer.3","answer.4","answer.5","answer.6","answer.7","answer.8","answer.9","answer.10","answer.11","answer.12","reference-term-source","reference-term-code","reference-term-relationship","reference-term-source","reference-term-code","reference-term-relationship"
"a7f23fb6-aeae-4d97-92db-444389f1ecd4","Migrant",,"Misc","Migrant","N/A",,,,,,"","","","","","","","","","","","","",,,,,,
"6b8d5e85-5c5b-4e8b-95b9-097b06627cfa","Spouse of migrant",,"Misc","Spouse of migrant","N/A",,,,,,"","","","","","","","","","","","","",,,,,,
"859f09e1-7fa9-4c3f-a8ce-f68cab5e2b6c","Pregnant woman",,"Misc","Pregnant woman","N/A",,,,,,"","","","","","","","","","","","","",,,,,,
"25e2d8d2-d199-4e90-8f03-a3ff513d1bb7","Neonate",,"Misc","Neonate","N/A",,,,,,"","","","","","","","","","","","","",,,,,,
"0c020f14-07fc-48a4-97f3-cff60c03108c","Others",,"Misc","Others","N/A",,,,,,"","","","","","","","","","","","","",,,,,,
"f59e9dfb-419c-428e-8889-4cef402e6fa1","Not at all",,"Misc","Not at all","N/A",,,,,,"","","","","","","","","","","","","",,,,,,
"208e0d57-ba71-418f-b23e-8484300efd3b","STI-Risk group",,"Misc","Risk group","Coded",,,,,,"","Sex worker","People who inject drugs","MSM and transgenders","Blood or organ recipient","Client of sex worker","Migrant","Spouse of migrant","Pregnant woman","Neonate","Others","Not at all","",,,,,,
"8aa3d17c-cb4b-4326-9e62-52c414941eed","STI-Other risk group",,"Misc","Others (specify)","Text",,,,,,"","","","","","","","","","","","","",,,,,,
"126ced65-6e96-4f97-9369-19a49e83325c","Referred in",,"Misc","Referred in","Boolean",,,,,,"","","","","","","","","","","","","",,,,,,
"9ba6dd9c-ee6e-46aa-9a2b-3a030b66cb62","STI-Sydromic treatment",,"Misc","Syndromic","Boolean",,,,,,"","","","","","","","","","","","","",,,,,,
"ad5a53fc-dd9e-4240-a852-77877f9a92b6","STI-Etiological treatment",,"Misc","Etiological","Boolean",,,,,,"","","","","","","","","","","","","",,,,,,
"a0427c29-5939-4c19-a472-2be323f6e574","STI-Syphilis screening",,"Misc","Syphilis screening","Boolean",,,,,,"","","","","","","","","","","","","",,,,,,
"3a166b28-636c-4d5f-b894-45c60bfa0c2a","STI-Presumptive treatment for sex workers",,"Misc","Presumptive treatment for sex workers","Boolean",,,,,,"","","","","","","","","","","","","",,,,,,
"8fcd3a78-a739-4e7e-9d99-05b61aba468d","STI-Asymptomatic partners treated",,"Misc","Asymptomatic partners treated","Boolean",,,,,,"","","","","","","","","","","","","",,,,,,
"b8ac2310-2688-4930-9a77-1e7295e7a77f","Referral In",,"Misc","In","N/A",,,,,,"","","","","","","","","","","","","",,,,,,
"397c7200-c761-48f1-8cd7-2bb43ae9f6ab","Referral Out",,"Misc","Out","N/A",,,,,,"","","","","","","","","","","","","",,,,,,
"9e9a1064-beb9-4424-9006-98e8cbfa2c76","N/A",,"Misc","N/A","N/A",,,,,,"","","","","","","","","","","","","",,,,,,
"7ed42acd-7a63-43ba-b915-1a6f3d852e38","STI, Referral",,"Misc","Referred","Coded",,,,,,"","Referral In","Referral Out","N/A","","","","","","","","","",,,,,,
"064b8a3e-6a90-45c8-a607-a49d975d8ef2","STI-Referred To",,"Misc","Referred to","Text",,,,,,"","","","","","","","","","","","","",,,,,,
"cb4a8b3d-f12a-4647-af32-ffa8d9578a65","STI-STI counseling",,"Misc","STI counseling","Boolean",,,,,,"","","","","","","","","","","","","",,,,,,
