"uuid","name","description","class","shortname","datatype","units","High Normal","Low Normal","Allow Decimal","locale","synonym.1","answer.1","answer.2","answer.3","answer.4","answer.5","answer.6","answer.7","answer.8","answer.9","answer.10","answer.11","answer.12","reference-term-source","reference-term-code","reference-term-relationship"
"ea682de2-f2f9-49bc-b5ed-22be707a34d4","PMTCT-Started art during",,"Misc","Started art during","Coded",,,,,,"","Before pregnancy","Antenatal period","Intrapartum","Postnatal","","","","","","","","",,,
"f23a06ad-baa6-4b03-9226-4af80aca0461","PMTCT-ART start date",,"Misc","ART start date","Date",,,,,,"","","","","","","","","","","","","",,,
"56f5e87f-4847-4fcb-82db-180ff05c5b47","AZT/3TC/NVP",,"Misc","AZT/3TC/NVP","N/A",,,,,,"","","","","","","","","","","","","",,,
"d186f233-e8ce-4b74-ac68-1c3502ff2cea","AZT/3TC/NVP-Paediatric",,"Misc","Paediatric","N/A",,,,,,"","","","","","","","","","","","","",,,
"f09060d2-2f09-4566-b434-d1573873f169","AZT/3TC/EFV",,"Misc","AZT/3TC/EFV","N/A",,,,,,"","","","","","","","","","","","","",,,
"00067c9c-22b1-4c89-a61e-8e1b2134fda4","AZT/3TC/EFV-Paediatric",,"Misc","Paediatric","N/A",,,,,,"","","","","","","","","","","","","",,,
"7fe7d27c-c640-4c43-9cfb-0d4b821cb6ad","TDF/3TC/NVP",,"Misc","TDF/3TC/NVP","N/A",,,,,,"","","","","","","","","","","","","",,,
"d98a7d1b-abac-4c95-9267-97697971104e","TDF/3TC/NVP-Paediatric",,"Misc","Paediatric","N/A",,,,,,"","","","","","","","","","","","","",,,
"c3facd70-5f8f-46c9-9dd0-f0f1f90a885f","TDF/3TC/EFV",,"Misc","TDF/3TC/EFV","N/A",,,,,,"","","","","","","","","","","","","",,,
"fade8e5d-07cf-4fde-8bc5-86fe2f53d9c6","TDF/3TC/EFV-Paediatric",,"Misc","Paediatric","N/A",,,,,,"","","","","","","","","","","","","",,,
"e43d78ed-ec27-45d9-8bad-414333cf8794","TDF/3TC/LPV/r",,"Misc","TDF/3TC/LPV/r","N/A",,,,,,"","","","","","","","","","","","","",,,
"1d389771-f2ad-4789-9559-40f588643829","AZT/3TC/LPV/r",,"Misc","AZT/3TC/LPV/r","N/A",,,,,,"","","","","","","","","","","","","",,,
"0c020f14-07fc-48a4-97f3-cff60c03108c","Others",,"Misc","Others","N/A",,,,,,"","","","","","","","","","","","","",,,
"f10ee99f-9717-47b9-9a5b-b6a196b109af","PMTCT-ART regimen",,"Misc","ART regimen","Coded",,,,,,"","AZT/3TC/NVP","AZT/3TC/NVP-Paediatric","AZT/3TC/EFV","AZT/3TC/EFV-Paediatric","TDF/3TC/NVP","TDF/3TC/NVP-Paediatric","TDF/3TC/EFV","TDF/3TC/EFV-Paediatric","TDF/3TC/LPV/r","AZT/3TC/LPV/r","Others","",,,
"b553bb32-61e4-43d8-a0f1-a9a8c57194db","PMTCT-CD4 count after 6 months",,"Misc","CD4 count after 6 months","Numeric",,,,,,"","","","","","","","","","","","","",,,
"62f8dfa5-5842-45d2-88fc-c9c253e1c695","PMTCT-CD4 count after 12 months",,"Misc","CD4 count after 12 months","Numeric",,,,,,"","","","","","","","","","","","","",,,
"3869638c-b96a-46d9-b09c-384cb0d23b85","Category a",,"Misc","Category a","N/A",,,,,,"","","","","","","","","","","","","",,,
"10815315-db12-4337-9216-29f11361a0ab","Category b",,"Misc","Category b","N/A",,,,,,"","","","","","","","","","","","","",,,
"0f24f06c-14fd-4fab-9e30-133ec27bafca","Category c",,"Misc","Category c","N/A",,,,,,"","","","","","","","","","","","","",,,
"90ed1f20-f18a-4a38-a884-262d949b3ed6","Category d",,"Misc","Category d","N/A",,,,,,"","","","","","","","","","","","","",,,
"c400e546-63c8-4d16-8da4-a8d94404d2ba","Category x",,"Misc","Category x","N/A",,,,,,"","","","","","","","","","","","","",,,
"940a9bb9-eac6-4ba0-9041-66fd181ec449","Category n",,"Misc","Category n","N/A",,,,,,"","","","","","","","","","","","","",,,
"17fa508e-96ff-44f5-907b-5b71ec7ea16a","PMTCT-Pregnancy category when tb treatment started",,"Misc","Pregnancy category when tb treatment started","Coded",,,,,,"","Category a","Category b","Category c","Category d","Category x","Category n","","","","","","",,,
"c77c80b0-f4ea-4fec-a089-47c38f298c37","PMTCT-TB treatment start date",,"Misc","TB treatment start date","Date",,,,,,"","","","","","","","","","","","","",,,
"570c2213-5794-44a2-8b5c-87adf8f251d1","On treatment",,"Misc","On treatment","N/A",,,,,,"","","","","","","","","","","","","",,,
"28ff044e-b146-41dd-b289-a2dcde3efee5","Stopped treatment",,"Misc","Stopped treatment","N/A",,,,,,"","","","","","","","","","","","","",,,
"84b57eb7-68ac-4016-b2fd-f71a221b410d","Transferred out",,"Misc","Transferred out","N/A",,,,,,"","","","","","","","","","","","","",,,
"17838acc-b71c-42d9-9ee7-a33445514e7c","Missing",,"Misc","Missing","N/A",,,,,,"","","","","","","","","","","","","",,,
"5eecec45-d0fe-439a-910d-eb603790c347","Lost to follow up",,"Misc","Lost to follow up","N/A",,,,,,"","","","","","","","","","","","","",,,
"0cdd59d9-2ca0-403c-83d0-a711971d0ced","Death",,"Misc","Death","N/A",,,,,,"","","","","","","","","","","","","",,,
"c93bfe62-1af5-4429-86de-036d4312494b","PMTCT-Antepartum",,"Misc","Antepartum","Coded",,,,,,"","On treatment","Stopped treatment","Transferred out","Missing","Lost to follow up","Death","","","","","","",,,
"84fedec9-1a40-443b-a894-f3e5b9219213","Adherence level a",,"Misc","Adherence level a","N/A",,,,,,"","","","","","","","","","","","","",,,
"93166973-ff06-4d05-b516-61cd50488920","Adherence level b",,"Misc","Adherence level b","N/A",,,,,,"","","","","","","","","","","","","",,,
"64bb4202-f7b2-45b9-a06a-93babac2055b","Adherence level c",,"Misc","Adherence level c","N/A",,,,,,"","","","","","","","","","","","","",,,
"7a135720-90fa-455a-b980-d46b38d43dd8","PMTCT-Adherence level","A --> greater than 95%<br>B --> 80‐95% <br>C --> less than 80%","Misc","Adherence level","Coded",,,,,,"","Adherence level a","Adherence level b","Adherence level c","","","","","","","","","",,,
"4816dcfb-0a5f-49f0-b53a-e20ab84165ed","Normal delivery",,"Misc","Normal delivery","N/A",,,,,,"","","","","","","","","","","","","",,,
"6a6abeba-9276-4b68-8783-cad6f37b8d96","Vaccum delivery",,"Misc","Vaccum delivery","N/A",,,,,,"","","","","","","","","","","","","",,,
"cf613a97-0d79-4aa1-ad22-2066dd0c4988","Forceps delivery",,"Misc","Forceps delivery","N/A",,,,,,"","","","","","","","","","","","","",,,
"42894559-dbef-455a-bd6a-de0fc80ab744","Cesarean section delivery",,"Misc","Cesarean section delivery","N/A",,,,,,"","","","","","","","","","","","","",,,
"a213540f-2207-49b5-b147-090a0798da32","PMTCT-Delivery",,"Misc","Delivery","Coded",,,,,,"","Normal delivery","Vaccum delivery","Forceps delivery","Cesarean section delivery","","","","","","","","",,,
"c60a15a1-573b-40e0-bc90-02de89f9c8ff","Livebirth",,"Misc","Livebirth","N/A",,,,,,"","","","","","","","","","","","","",,,
"8772c80a-0d09-40d5-b6ba-a17ebebedc83","Stillbirth",,"Misc","Stillbirth","N/A",,,,,,"","","","","","","","","","","","","",,,
"bcbb8887-ba17-4543-abe8-6edeaf790d01","Stillbirth macerated",,"Misc","Stillbirth macerated","N/A",,,,,,"","","","","","","","","","","","","",,,
"40e7588c-b5c8-4625-9fc5-1ddf5f2f63e4","PMTCT-Baby birth status",,"Misc","Baby birth status","Coded",,,,,,"","Livebirth","Stillbirth","Stillbirth macerated","","","","","","","","","",,,
"570c2213-5794-44a2-8b5c-87adf8f251d1","On treatment",,"Misc","On treatment","N/A",,,,,,"","","","","","","","","","","","","",,,
"28ff044e-b146-41dd-b289-a2dcde3efee5","Stopped treatment",,"Misc","Stopped treatment","N/A",,,,,,"","","","","","","","","","","","","",,,
"84b57eb7-68ac-4016-b2fd-f71a221b410d","Transferred out",,"Misc","Transferred out","N/A",,,,,,"","","","","","","","","","","","","",,,
"17838acc-b71c-42d9-9ee7-a33445514e7c","Missing",,"Misc","Missing","N/A",,,,,,"","","","","","","","","","","","","",,,
"5eecec45-d0fe-439a-910d-eb603790c347","Lost to follow up",,"Misc","Lost to follow up","N/A",,,,,,"","","","","","","","","","","","","",,,
"0cdd59d9-2ca0-403c-83d0-a711971d0ced","Death",,"Misc","Death","N/A",,,,,,"","","","","","","","","","","","","",,,
"98dc3ef5-8bd7-4544-8cf8-cb2465696b6b","PMTCT-Postpartum",,"Misc","Postpartum","Coded",,,,,,"","On treatment","Stopped treatment","Transferred out","Missing","Lost to follow up","Death","","","","","","",,,
"bb40c5c2-8403-4dee-ba98-ec11d77fc23f","PMTCT-Live birth",,"Misc","Live birth","Numeric",,,,,,"","","","","","","","","","","","","",,,
"f96197e6-67a0-401f-92f8-136628d5d85b","PMTCT-Birth weight",,"Misc","Birth weight","Numeric",,,,,,"","","","","","","","","","","","","",,,
"3dd9eaf4-55bd-4599-9303-d266a29b763b","PMTCT-Started arv prophylaxis for baby",,"Misc","Started arv prophylaxis for baby","Boolean",,,,,,"","","","","","","","","","","","","",,,
"ddcae2c3-4a48-4fe6-8475-0e4da00a8496","Exclusive breast feeding",,"Misc","Exclusive breast feeding","N/A",,,,,,"","","","","","","","","","","","","",,,
"0373a323-3594-465c-8b0d-5bccbdd9f8ee","Replacement breast feeding",,"Misc","Replacement breast feeding","N/A",,,,,,"","","","","","","","","","","","","",,,
"d1c055ae-bd42-4c79-8ea9-49ae3cb7bb7d","Mixed breast feeding",,"Misc","Mixed breast feeding","N/A",,,,,,"","","","","","","","","","","","","",,,
"44560b9b-f530-46f9-b550-a617054e8161","PMTCT-Breast feeding options opted by hiv +ve mother",,"Misc","Breast feeding options opted by hiv +ve mother","Coded",,,,,,"","Exclusive breast feeding","Replacement breast feeding","Mixed breast feeding","","","","","","","","","",,,
"4cca954e-9650-480b-ac54-642ec3c55785","PMTCT-Family planning services provided postpartum",,"Misc","Family planning services provided postpartum","Boolean",,,,,,"","","","","","","","","","","","","",,,
"b026e2d4-ba1f-4288-bcf4-5d76829ad55a","PMTCT-Transfer out during pregnancy",,"Misc","Transfer out during pregnancy","Date",,,,,,"","","","","","","","","","","","","",,,
"3be7f5eb-64a0-4cb7-9d26-2a32851ae421","PMTCT-Date of death",,"Misc","Date of death","Date",,,,,,"","","","","","","","","","","","","",,,
"8305f468-6499-4b32-b003-99032712682d","PMTCT-Place of transfer out for continuum",,"Misc","Place of transfer out for continuum","Text",,,,,,"","","","","","","","","","","","","",,,
"2b421417-b5e4-4078-84e8-5e5ba34191ec","PMTCT-Date of transfer out for continuum",,"Misc","Date of transfer out for continuum","Date",,,,,,"","","","","","","","","","","","","",,,
"7f41e2d3-6785-4a8d-bd0f-f9afbbc0e9d2","PMTCT-Remarks of transfer out for continuum",,"Misc","Remarks of transfer out for continuum","Text",,,,,,"","","","","","","","","","","","","",,,
