"uuid","name","description","class","shortname","datatype","units","High Normal","Low Normal","Allow Decimal","locale","synonym.1","answer.1","answer.2","answer.3","answer.4","answer.5","answer.6","answer.7","answer.8","reference-term-source","reference-term-code","reference-term-relationship"
"45c7bb6a-3728-4ee2-b59c-0d2f7f88616b","Animal bite-Hand/Arm",,"Misc","Hand/Arm","N/A",,,,,,"","","","","","","","","",,,
"3c0576f9-cbc2-4523-b3c8-bdcad8238319","Animal bite-Lower trunk",,"Misc","Lower trunk","N/A",,,,,,"","","","","","","","","",,,
"259d125f-040f-4e20-8446-94d6a48ac44d","Animal bite-Leg",,"Misc","Leg","N/A",,,,,,"","","","","","","","","",,,
"63e8b7f5-8cf4-47b0-be5e-deaa583507fd","Animal bite-Site of bite",,"Misc","Site of bite","Coded",,,,,,"","Animal bite-Face/head","Animal bite-Palm/Finger","Animal bite-Hand/forehand","Animal bite-Upper trunk","Animal bite-Hand/Arm","Animal bite-Lower trunk","Animal bite-Leg","",,,
"e67fc7df-072f-4940-a83a-5cc312590a6a","Animal bite-Scratch",,"Misc","Scratch","N/A",,,,,,"","","","","","","","","",,,
"4c2ec11a-76f4-49ea-bb7e-ab1f2ff17926","Animal bite-Superficial",,"Misc","Superficial","N/A",,,,,,"","","","","","","","","",,,
"ffc1e179-8eea-452b-badc-ec7b17baf907","Animal bite-Multiple wound",,"Misc","Multiple wound","N/A",,,,,,"","","","","","","","","",,,
"c4100e4f-4ec9-42a8-9e71-6bc40708cec4","Animal bite-Deep",,"Misc","Deep","N/A",,,,,,"","","","","","","","","",,,
"13d03d26-90ad-4ab0-b280-476e2e068362","Animal bite-Type of wound",,"Misc","Type of wound","Coded",,,,,,"","Animal bite-Scratch","Animal bite-Superficial","Animal bite-Multiple wound","Animal bite-Deep","","","","",,,
"b8f7ed68-8986-4f92-a739-57ef7fd13dae","Animal bite-Address of the owner or location of the animal",,"Misc","Address of the owner or location of the animal","Text",,,,,,"","","","","","","","","",,,
"53d7b93c-c2c9-41bd-96ad-ddceabf3fef3","Animal bite-Yes",,"Misc","Yes","N/A",,,,,,"","","","","","","","","",,,
"fec5abf3-ebe0-4ce4-bfa6-506124cd687e","Animal bite-No",,"Misc","No","N/A",,,,,,"","","","","","","","","",,,
"b4f9cc63-73d6-49f1-ad8b-54d3031e1fcc","Animal bite-Not applicable",,"Misc","N/A","N/A",,,,,,"","","","","","","","","",,,
"cde7d238-6bf1-4755-9303-0c150d14a439","Animal bite-Animal vaccinated?",,"Misc","Animal vaccinated?","Coded",,,,,,"","Animal bite-Yes","Animal bite-No","Animal bite-Not applicable","","","","","",,,
"462df9c3-c5ba-4d08-8ac0-16daf5128c3f","Animal bite-Category i",,"Misc","Category i","N/A",,,,,,"","","","","","","","","",,,
"011c31f0-288d-44b2-9669-d6db820ed3b8","Animal bite-Category ii",,"Misc","Category ii","N/A",,,,,,"","","","","","","","","",,,
"eb5d45bc-3cad-4297-89c9-5788082948b8","Animal bite-Category iii(encirble)",,"Misc","Category iii(encirble)","N/A",,,,,,"","","","","","","","","",,,
"ef8d71f6-4e13-4ef1-a31a-a0b1cebd3bf5","Animal bite-Category of bite","<li>category I ? touching or feeding animals, licks on the skin
<li>category II - Minor scratches or abrasions without bleeding, licks on broken skin
<li>category III ? single or multiple transdermal bites or scratches, contamination of mucous membrane with saliva from licks","Misc","Category of bite","Coded",,,,,,"","Animal bite-Category i","Animal bite-Category ii","Animal bite-Category iii(encirble)","","","","","",,,
"126ced65-6e96-4f97-9369-19a49e83325c","Referred in",,"Misc","Referred in","Boolean",,,,,,"","","","","","","","","",,,
"bac0fd88-fe84-47f8-9ab4-ec8a63ebf8f1","Animal bite-Cat/Dog",,"Misc","Cat/Dog-stray","N/A",,,,,,"","","","","","","","","",,,
"35253011-3a75-4730-92ce-0b5c8635475a","Animal bite-Cat/Dog",,"Misc","Cat/Dog-stray, Wild","N/A",,,,,,"","","","","","","","","",,,
"c530b2b6-b7b1-4087-8966-ab11c3da8591","Animal bite-Type of animal",,"Misc","Type of animal","Coded",,,,,,"","Animal bite-Cat/Dog","Animal bite-Cat/Dog","","","","","","",,,
"2e34f9b6-0108-4500-b002-1f9b2d8d8be8","Animal bite-Possible/Confirmed",,"Misc","Possible/Confirmed","N/A",,,,,,"","","","","","","","","",,,
"ccd47a8d-f672-4751-9690-80fce525dbc7","Animal bite-Not (possible/confirmed)",,"Misc","Not (possible/confirmed)","N/A",,,,,,"","","","","","","","","",,,
"16ecb875-2a11-43ed-95b8-9f1cc7471470","Animal bite-Observation/Identification",,"Misc","Observation/Identification","Coded",,,,,,"","Animal bite-Possible/Confirmed","Animal bite-Not (possible/confirmed)","","","","","","",,,
"29923a5f-05cd-497d-903a-b16167a2c851","Animal bite-2 consecutive in last two years & one within 1 yr.",,"Misc","2 consecutive in last two years & one within 1 yr.","N/A",,,,,,"","","","","","","","","",,,
"a592d5f7-f5ff-44ad-9935-6255ac5f68e6","Animal bite-No or not applicable",,"Misc","No or not applicable","Text",,,,,,"","","","","","","","","",,,
"48cb69db-74ac-4f6e-9ad5-c1690f7ad1bd","Animal bite-Vaccination",,"Misc","Vaccination","Coded",,,,,,"","Animal bite-2 consecutive in last two years & one within 1 yr.","Animal bite-No or not applicable","","","","","","",,,
"ba1df9ca-5811-4709-84a7-889a59339464","Animal bite-Provoked bite",,"Misc","Provoked bite","Boolean",,,,,,"","","","","","","","","",,,
"a2183361-5638-436b-809e-6d82004fcc7a","Animal bite-Normal",,"Misc","Normal","N/A",,,,,,"","","","","","","","","",,,
"c7871692-455d-4d50-a19d-dc6be3a1e7e1","Animal bite-Suspecious",,"Misc","Suspeciuos","N/A",,,,,,"","","","","","","","","",,,
"98e21cff-86e9-4c70-8af2-8b474a61de4f","Animal bite-Behavior",,"Misc","Behavior","Coded",,,,,,"","Animal bite-Normal","Animal bite-Suspecious","","","","","","",,,
"18ee6d00-00ff-42d3-9401-1d51590fb825","Animal bite-Tetanus texoid",,"Misc","TT","N/A",,,,,,"","","","","","","","","",,,
"1e6c839d-b0b8-4cac-bffa-52f8e9c01bc5","Animal bite-Anti rabies vaccine",,"Misc","ARV","N/A",,,,,,"","","","","","","","","",,,
"b4f9cc63-73d6-49f1-ad8b-54d3031e1fcc","Animal bite-Not applicable",,"Misc","N/A","N/A",,,,,,"","","","","","","","","",,,
"27e95fd2-1597-467a-9f59-082f7372f7b2","Animal bite-Vaccination provided",,"Misc","Vaccination provided","Coded",,,,,,"","Animal bite-Tetanus texoid","Animal bite-Anti rabies vaccine","Animal bite-Not applicable","","","","","",,,
"254754bb-de32-480f-9c48-367f83e816cc","Animal bite-Day 0",,"Misc","Day 0","N/A",,,,,,"","","","","","","","","",,,
"69a15439-14ec-4c7e-88cb-fe9cd3f526fa","Animal bite-Day 7",,"Misc","Day 7","N/A",,,,,,"","","","","","","","","",,,
"17edfa4a-c3be-4d31-b5cf-ac09d34f9446","Animal bite-Day 21",,"Misc","Day 21","N/A",,,,,,"","","","","","","","","",,,
"d15ff328-2ed0-426c-a9d8-224652995e3c","Animal bite-Day 28",,"Misc","Day 28","N/A",,,,,,"","","","","","","","","",,,
"2fe00beb-1a0e-4895-88a4-1c8b3b792a97","Animal bite-Not applicable",,"Misc","N/A","N/A",,,,,,"","","","","","","","","",,,
"aa64cfbc-a926-4d17-a441-66b91c7a24e2","Animal bite-Pre exposure prophylaxis","Three 2.5 IU/mL doses of rabies vaccine are given IM, one injection per day, on days 0, 7, and 21 or 28, in the deltoid area of adults or in the anterolateral thigh of young children.","Misc","Pre exposure prophylaxis","Coded",,,,,,"","Animal bite-Day 0","Animal bite-Day 7","Animal bite-Day 21","Animal bite-Day 28","Animal bite-Not applicable","","","",,,
"254754bb-de32-480f-9c48-367f83e816cc","Animal bite-Day 0",,"Misc","Day 0","N/A",,,,,,"","","","","","","","","",,,
"a5f0240f-6486-4d38-ba86-7280d72b04c5","Animal bite-Day 3",,"Misc","Day 3","N/A",,,,,,"","","","","","","","","",,,
"69a15439-14ec-4c7e-88cb-fe9cd3f526fa","Animal bite-Day 7",,"Misc","Day 7","N/A",,,,,,"","","","","","","","","",,,
"33edb870-87d2-45a9-bd3a-8a16ebfd452c","Animal bite-Day 14",,"Misc","Day 14","N/A",,,,,,"","","","","","","","","",,,
"d15ff328-2ed0-426c-a9d8-224652995e3c","Animal bite-Day 28",,"Misc","Day 28","N/A",,,,,,"","","","","","","","","",,,
"b4f9cc63-73d6-49f1-ad8b-54d3031e1fcc","Animal bite-Not applicable",,"Misc","N/A","N/A",,,,,,"","","","","","","","","",,,
"259536a0-ced3-4e26-bc8b-7378616450cb","Animal bite-Post exposure treatment","One dose of the vaccine should be administered on days 0, 3, 7, 14 and 28. Given in the deltoid region or, for young children, into the antero-lateral area of the thigh muscle","Misc","Post exposure treatment","Coded",,,,,,"","Animal bite-Day 0","Animal bite-Day 3","Animal bite-Day 7","Animal bite-Day 14","Animal bite-Day 28","Animal bite-Not applicable","","",,,
"30397ec8-ab75-4b78-b87e-ac42d8667623","Animal bite-Name of the service provider",,"Misc","Name of the service provider","Text",,,,,,"","","","","","","","","",,,
