uuid,name,description,class,shortname,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,synonym.2,synonym.3,synonym.4,synonym.5,synonym.6,synonym.7,synonym.8,synonym.9,synonym.10,synonym.11,synonym.12,synonym.13,synonym.14,synonym.15,synonym.16,synonym.17,synonym.18,synonym.19,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,answer.13,reference-term-source,reference-term-code,reference-term-relationship,reference-term-source,reference-term-code,reference-term-relationship
,Delivery-Method of delivery,,Misc,Delivery method,Coded,,,,,,,,,,,,,,,,,,,,,,,,,Spontaneous vaginal delivery,Forceps assisted,Vacuum assisted,Caesarean section,,,,,,,,,,,,,,,
,Single-livebirth,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Single-stillbirth,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Twins-both liveborn,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Twins-both stillborn,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Twins-one liveborn and one stillborn,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other multiple births-all liveborn,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other multiple births-some liveborn,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other multiple births-all stillborn,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delivery-Outcome of delivery,,Misc,Delivery outcome,Coded,,,,,,,,,,,,,,,,,,,,,,,,,Single-livebirth,Single-stillbirth,Twins-both liveborn,Twins-both stillborn,Twins-one liveborn and one stillborn,Other multiple births-all liveborn,Other multiple births-some liveborn,Other multiple births-all stillborn,,,,,,,,,,,
,Not applicable,,Misc,Not applicable,N/A,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fresh stillbirth,,Misc,Fresh,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Macerated,,Misc,Macerated,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delivery-Stillbirth type,,Misc,Stillbirth type,Coded,,,,,,,,,,,,,,,,,,,,,,,,,Not applicable,Fresh stillbirth,Macerated,,,,,,,,,,,,,,,,
,Delivery-Gestation period,,Misc,Gestation period,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cephalic,,Misc,Cephalic,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shoulder,,Misc,Shoulder,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Breech,,Misc,Breech,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delivery-Fetal presentation,,Misc,Presentation,Coded,,,,,,,,,,,,,,,,,,,,,,,,,Cephalic,Shoulder,Breech,,,,,,,,,,,,,,,,
,Delivery-Meconium stained liquor,,Misc,Meconium stained liquor,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Manual removal,,Misc,Manual removal,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chest tightness,,Misc,Controlled cord traction,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delivery-Method of delivery of placenta,,Misc,Method of delivery of placenta,Coded,,,,,,,,,,,,,,,,,,,,,,,,,Manual removal,Chest tightness,,,,,,,,,,,,,,,,,
,Complete,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Incomplete,,Misc,Incomplete,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Doubtful,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delivery-Placenta delivery status,,Misc,Placenta delivery status,Coded,,,,,,,,,,,,,,,,,,,,,,,,,Complete,Incomplete,Doubtful,,,,,,,,,,,,,,,,
,Complete,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ragged,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pericarditis,,Misc,Retained,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delivery-Membrane condition,,Misc,Membrane condition,Coded,,,,,,,,,,,,,,,,,,,,,,,,,Complete,Ragged,Pericarditis,,,,,,,,,,,,,,,,
,Herniotomy,,Misc,Intact,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Disarticulation,,Misc,Episiotomy on mother,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,First Degree Perineal Laceration,,Misc,1st degree laceration,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Second Degree Perineal Laceration,,Misc,2nd degree laceration,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Third Degree Perineal Laceration,,Misc,3rd degree laceration,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delivery-4th degree laceration,,Misc,4th degree laceration,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delivery-Perineum condition,,Misc,Perineum condition,Coded,,,,,,,,,,,,,,,,,,,,,,,,,Herniotomy,Disarticulation,First Degree Perineal Laceration,Second Degree Perineal Laceration,Third Degree Perineal Laceration,Delivery-4th degree laceration,,,,,,,,,,,,,
,Delivery-Suturing,,Misc,Suturing,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prolonged labour,,Diagnosis,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,obstructed labour,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Antepartum haemorrhage,,Diagnosis,Antepartum haemorrhage,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ruptured Uterus,,Diagnosis,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Postpartum haemorrhage,,Diagnosis,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ICD 10 - WHO,O72,SAME-AS,,,
,Retained placenta,,Diagnosis,Retained placenta,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pueperal sepsis,,Diagnosis,Pueperal sepsis,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Severe/ Pre‐Eclampsia,,Diagnosis,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eclampsia,"All eclampsia cases during pregnancy, intrapartum and post delivery",Diagnosis,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ICD 10 - WHO,O15,SAME-AS,,,
,RH negative,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Others,,Misc,Others,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Not present,,Misc,Not present,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delivery-Complication present,,Misc,Complication present,Coded,,,,,,,,,,,,,,,,,,,,,,,,,Prolonged labour,obstructed labour,Antepartum haemorrhage,Ruptured Uterus,Postpartum haemorrhage,Retained placenta,Pueperal sepsis,Severe/ Pre‐Eclampsia,Eclampsia,RH negative,Others,Not present,,,,,,,
,Delivery-Anti D provided?,,Misc,Anti D provided?,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delivery-Total blood loss,,Misc,Total blood loss (ml),Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delivery-Blood transfusion quantity,,Misc,Blood transfusion quantity (pint),Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HIV counselled,,Misc,,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HTC-Tested before,,Misc,HIV tested before,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delivery-Is women hiv+ve?,,Misc,Is women hiv+ve?,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delivery-Test performed in this delivery?,,Misc,HIV test is this delivery,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HIV positive,,Misc,HIV positive,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HIV negative,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delivery-Test result,,Misc,Test result,Coded,,,,,,,,,,,,,,,,,,,,,,,,,HIV positive,HIV negative,,,,,,,,,,,,,,,,,
,Infant IP,,Misc,,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delivery-Other complications,,Misc,Other complications,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delivery-Treatment suggestion,,Misc,Treatment suggestion,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delivery-Referred out,,Misc,Referral required,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRUE,,Misc,TRUE,N/A,,,,,,Oui,Sì,Sí,Vrai,S��,Vero,Vero,S??,Sim,Verdadero,Verdadeiro,Yes,S?,Oui,Verdadero,Vrai,Verdadeiro,Sim,,,,,,,,,,,,,,,,,,,,
,Not applicable,,Misc,Not applicable,N/A,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delivery-Early neonatal death,,Misc,Early neonatal death,Coded,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,Not applicable,,,,,,,,,,,,,,,,,
