"uuid","name","description","class","shortname","datatype","units","High Normal","Low Normal","Allow Decimal","locale","synonym.1","synonym.2","answer.1","answer.2","answer.3","answer.4","answer.5","answer.6","answer.7","reference-term-source","reference-term-code","reference-term-relationship"
"e672e6f6-5794-4d45-abf2-e4dba531bf08","Capreomycin",,"Drug",,"N/A",,,,,,"","","","","","","","","",,,
"3f987ed1-a927-4ebf-a5c3-07f5b3c015c7","DRTB FU-Resistant drug","INH: Isoniazid <li>RR: Rephampicin resistant <li>KM: Kanamicin<li>Lfx: Levofloxacin<li>CM: Capriomycin","Misc","Resistant drug","Coded",,,,,,"","","Isoniazid","Rifampicin","Kanamycin","Levofloxacin","Capreomycin","","",,,
"7d6b8f7f-eff6-4892-920d-74760b13d8f3","Sensitive",,"Misc",,"N/A",,,,,,"","","","","","","","","",,,
"20862f0a-6fa8-4941-8d70-0dfd40271290","Resistant",,"Misc",,"N/A",,,,,,"","","","","","","","","",,,
"27b9afdb-b873-42b3-a061-54d4b628939a","DRTB FU-Sensitivity test result",,"Misc","Sensitivity test result","Coded",,,,,,"","","Sensitive","Resistant","","","","","",,,
"984ca967-8a2a-4977-80d7-9b9ce05acb4c","Multi drug resistant",,"Misc","MDR","N/A",,,,,,"","","","","","","","","",,,
"9db0ea63-66a1-472d-b85d-91db1345e627","Pre XDR",,"Misc",,"N/A",,,,,,"","","","","","","","","",,,
"54e8257b-452f-4718-85c8-3c629bc17d63","XDR",,"Misc","XDR","N/A",,,,,,"","","","","","","","","",,,
"7c42b914-9ed1-4065-8a33-4f50550dbd23","DRTB FU-Treatment category",,"Misc","Treatment category","Coded",,,,,,"","","Multi drug resistant","Pre XDR","XDR","","","","",,,
"b425e86e-a1ea-4acc-b141-1aa81b80bc54","DRTB FU-Routine 6th monthly test performed ?","Routine 6th monthly tests: TSH, Ear infection","Misc","Routine 6th monthly test performed ?","Boolean",,,,,,"","","","","","","","","",,,
"860c30ab-75be-499c-b21a-87da42cd5b5b","Treatment completed",,"Misc","Treatment completed","N/A",,,,,,"","","","","","","","","",,,
"477128a7-bb82-4c2d-8a35-0b1c5e9e669c","Treatment cured",,"Misc","Treatment cured","N/A",,,,,,"","","","","","","","","",,,
"234aca25-a29e-4127-b694-bcff64c65fa8","Slit skin positive",,"Misc","Treatment defaulted","N/A",,,,,,"","","","","","","","","",,,
"61bfcbde-3c16-4557-83fd-6c10f76755cd","Not evaluated",,"Misc","Not evaluated","N/A",,,,,,"","","","","","","","","",,,
"f3731595-3c8a-4aa4-93cc-949f1e603715","Death during treatment",,"Misc","Died","N/A",,,,,,"","","","","","","","","",,,
"502efb1f-76a5-43a8-8b91-fc656b7a58bc","Treatment failed",,"Misc","Treatement failed","N/A",,,,,,"","","","","","","","","",,,
"2421afb4-ee7f-4439-9f2e-50d61dc6e684","DRTB FU-Treatment outcome",,"Misc","Treatment outcome","Coded",,,,,,"","","Treatment completed","Treatment cured","Slit skin positive","Not evaluated","Death during treatment","Treatment failed","",,,
"5eecec45-d0fe-439a-910d-eb603790c347","Lost to follow up",,"Misc","Lost to follow up","N/A",,,,,,"","","","","","","","","",,,
"f3731595-3c8a-4aa4-93cc-949f1e603715","Death during treatment",,"Misc","Died","N/A",,,,,,"","","","","","","","","",,,
"61bfcbde-3c16-4557-83fd-6c10f76755cd","Not evaluated",,"Misc","Not evaluated","N/A",,,,,,"","","","","","","","","",,,
"198f3151-02c2-4cca-abfe-d292ca5fa638","DRTB FU-Sputum conversion result",,"Misc","Sputum conversion result","Coded",,,,,,"","","Lost to follow up","Death during treatment","Not evaluated","","","","",,,
"161b0f62-5421-455b-80c3-16cee5179fa2","DRTB FU-HIV tested in this course ?",,"Misc","HIV tested in this course ?","Boolean",,,,,,"","","","","","","","","",,,
"d76f36c5-c989-417f-a9ba-0ca6721d770a","Positive",,"Misc","Positive","N/A",,,,,,"","","","","","","","","",,,
"5c57dba8-15bb-4b00-a2dd-469b2aa68523","Negative",,"Misc","Negative","N/A",,,,,,"","","","","","","","","",,,
"a015c76a-ed7f-4652-ae46-ca4934af5e74","DRTB FU-HIV test result",,"Misc","HIV test result","Coded",,,,,,"","","Positive","Negative","","","","","",,,
"9ab7e2f2-0a06-4aa8-82b9-2c6e5444e434","DRTB FU-Is patient on art ?",,"Misc","Is patient on art ?","Boolean",,,,,,"","","","","","","","","",,,
