"uuid","name","description","class","shortname","datatype","units","High Normal","Low Normal","Allow Decimal","locale","synonym.1","answer.1","answer.2","answer.3","answer.4","answer.5","answer.6","answer.7","answer.8","answer.9","reference-term-source","reference-term-code","reference-term-relationship"
"fb2c0818-5e88-49f3-824f-8262a13ea33f","DRTB intake-Reasons for entering in second",,"Misc","Reasons for entering in second-line tb treatment register","Coded",,,,,,"","Presumptive RRTB or MDRTB","Confirmed RRTB or MDRTB","","","","","","","",,,
"7b2d6deb-d3b4-464c-8dbb-4b6e35d85ad9","Yes",,"Misc","Yes","N/A",,,,,,"","","","","","","","","","",,,
"d74b4da5-bdee-4650-8e31-986f27e0d23c","No",,"Misc","No","N/A",,,,,,"","","","","","","","","","",,,
"a8f848e0-2e47-41cf-bfa4-1e982da62407","Unknown",,"Misc","Unknown","N/A",,,,,,"","","","","","","","","","",,,
"b136f6c5-cda4-488c-b7dc-5eb6acd197d0","DRTB intake-Second line drugs received previously",,"Misc","Second line drugs received previously","Coded",,,,,,"","Yes","No","Unknown","","","","","","",,,
"340e5b19-74cb-46bc-9ade-ea0d3cf7a179","DRTB intake-Is patient on CPT",,"Misc","Is patient on CPT","Boolean",,,,,,"","","","","","","","","","",,,
"8c129393-c942-4d80-b221-8ccde76ffdfc","DRTB intake-Is patient on ART",,"Misc","Is patient on ART","Boolean",,,,,,"","","","","","","","","","",,,
"7b2d6deb-d3b4-464c-8dbb-4b6e35d85ad9","Yes",,"Misc","Yes","N/A",,,,,,"","","","","","","","","","",,,
"d74b4da5-bdee-4650-8e31-986f27e0d23c","No",,"Misc","No","N/A",,,,,,"","","","","","","","","","",,,
"a8f848e0-2e47-41cf-bfa4-1e982da62407","Unknown",,"Misc","Unknown","N/A",,,,,,"","","","","","","","","","",,,
"ac63b139-86a1-471f-a175-38eec17e026a","DRTB intake-HIV infection",,"Misc","HIV infection","Coded",,,,,,"","Yes","No","Unknown","","","","","","",,,
"5acf4784-19ea-4989-851d-6db033d52fdf","DRTB intake-Date of sample taken for DST",,"Misc","Date of sample taken for DST","Date",,,,,,"","","","","","","","","","",,,
"4f8b1c76-4b65-4863-a8da-436f7a9bb21f","Sputum smear",,"Misc","Sputum smear","N/A",,,,,,"","","","","","","","","","",,,
"ff854c0e-b4ae-404f-81ef-3e995af0fda0","Sputum culture",,"Misc","Sputum culture","N/A",,,,,,"","","","","","","","","","",,,
"5c57dba8-15bb-4b00-a2dd-469b2aa68523","Negative",,"Misc","Negative","N/A",,,,,,"","","","","","","","","","",,,
"d76f36c5-c989-417f-a9ba-0ca6721d770a","Positive",,"Misc","Positive","N/A",,,,,,"","","","","","","","","","",,,
"7749d257-fd9d-40f6-9945-d6252255e6ec","HIVTC-Gene expert TB Intake assessment at enrollment",,"Misc","Gene expert","Coded",,,,,,"","Negative","Positive","","","","","","","",,,
"d613385c-f5a8-45e4-881c-ff9ca0e14aa1","DRTB intake-Tests ordered","Enter this for both new and follow-up cases","Misc","Tests ordered","Coded",,,,,,"","Sputum smear","Sputum culture","HIVTC-Gene expert TB Intake assessment at enrollment","","","","","","",,,
"6638a3fd-15c6-4450-a4ef-c1f0c23cb014","DRTB intake-Drug regimen",,"Misc","Drug regimen","Text",,,,,,"","","","","","","","","","",,,
"7a778891-0dd3-4a25-b2f3-20ab7b977592","DRTB intake-Regimen start date",,"Misc","Regimen start date","Date",,,,,,"","","","","","","","","","",,,
"1e168b16-e098-4150-bf10-ef98d53c0a46","DRTB intake-Remarks",,"Misc","Remarks","Text",,,,,,"","","","","","","","","","",,,
"d123603d-133c-4ddb-b26e-0132a0e0b973","1 week",,"Misc","1 week","N/A",,,,,,"","","","","","","","","","",,,
"be711e77-402d-4205-9677-ba7c0c792031","2 weeks",,"Misc","2 weeks","N/A",,,,,,"","","","","","","","","","",,,
"b2a2378e-09d2-425a-9fc9-c1a5aa0b15fc","3 weeks",,"Misc","3 weeks","N/A",,,,,,"","","","","","","","","","",,,
"a3eae9b3-b760-4b3d-a42f-7b5acd152823","1 month",,"Misc","1 month","N/A",,,,,,"","","","","","","","","","",,,
"e1d10fd7-fcc6-4b13-b2b9-fd389e622d0c","2 months",,"Misc","2 months","N/A",,,,,,"","","","","","","","","","",,,
"ba47aabe-945b-4f3c-a7f0-589399343f09","3 months",,"Misc","3 months","N/A",,,,,,"","","","","","","","","","",,,
"df4e165d-223d-4035-b235-f7020678c50b","> 3 months",,"Misc","> 3 months","N/A",,,,,,"","","","","","","","","","",,,
"6a9d02bb-7e53-45b2-a23f-dd9c11cf1aa1","Chronic Disease-Followup",,"Misc","Followup","Coded",,,,,,"","1 week","2 weeks","3 weeks","1 month","2 months","3 months","> 3 months","","",,,
