Code,Source,Name,Description,Version
N99.9,ICD-10-WHO,Reproductive Tract Infection (RTI) ‐ Female,,
N51,ICD-10-WHO,Reproductive Tract Infection (RTI) ‐ Male,,
E04.9,ICD-10-WHO,"Goitre, Cretinism",,
E14,ICD-10-WHO,Diabetes Mellitus (DM),,
E46,ICD-10-WHO,Malnutrition,,
E50.9,ICD-10-WHO,Avitaminoses & Other Nutrient Deficiency,,
E66.9,ICD-10-WHO,Obesity,,
D64.9,ICD-10-WHO,Anaemia/Polyneuropathy,,
G62.9,ICD-10-WHO,Polyneuritis,,
L70,ICD-10-WHO,Acne,,
B07,ICD-10-WHO,Warts,,
L81.1,ICD-10-WHO,Chloasma/ Melasma,,
L50,ICD-10-WHO,Urticaria,,
L30.9,ICD-10-WHO,Dermatitis/Eczema,,
L65,ICD-10-WHO,Alopecia,,
L80,ICD-10-WHO,Vitiligo,,
E70.3,ICD-10-WHO,Albinism,,
B00,ICD-10-WHO,Herpes Simplex,,
B02,ICD-10-WHO,Herpes Zoster,,
L53.9,ICD-10-WHO,Erythroderma,,
L01.0,ICD-10-WHO,Impetigo,,
L02,ICD-10-WHO,Boils,,
L02.0,ICD-10-WHO,Abscess,,
L02.9,ICD-10-WHO,Furunculosis,,
L43,ICD-10-WHO,Fungal Infection (Lichen planus),,
B86,ICD-10-WHO,Scabies,,
L81.5,ICD-10-WHO,Leukoderma,,
L40,ICD-10-WHO,Psoriasis,,
L04,ICD-10-WHO,Acute Lymphadenitis,,
H66.0,ICD-10-WHO,Acute Suppurative Otitis Media,,
H66.1,ICD-10-WHO,Chronic Suppurative Otitis Media,,
J32,ICD-10-WHO,Sinusitis,,
J03,ICD-10-WHO,Acute Tonsilitis,,
J02,ICD-10-WHO,Pharyngitis/Sore throat,,
T16,ICD-10-WHO,Foreign body in ear,,
T17.1,ICD-10-WHO,Foreign body in nose ,,
T17.2,ICD-10-WHO,Foreign body in throat,,
H61.2,ICD-10-WHO,Wax,,
J33,ICD-10-WHO,Nasal Polyps,,
J34.2,ICD-10-WHO,Deviated Nasal Septum (DNS),,
J31,ICD-10-WHO,Rhinitis,,
H60,ICD-10-WHO,Otitis externa,,
K21.0,ICD-10-WHO,Reflux Laryngitis,,
K02,ICD-10-WHO,Dental Caries,,
K08.8,ICD-10-WHO,Toothache,,
K05,ICD-10-WHO,Periodontal Disease (gum disease),,
K08.9,ICD-10-WHO,Other Disorder of Teeth,,
K12,ICD-10-WHO,Oral Ulcer (Aphthous & herpetic),,
K01.1,ICD-10-WHO,Tooth Impaction,,
K00.4,ICD-10-WHO,Hypoplasia,,
L43,ICD-10-WHO,Fungal Infection (Lichen planus),,
B37,ICD-10-WHO,Fungal Infection (Candidiasis),,
K04,ICD-10-WHO,Oral Space Infection & Abscess,,
H10,ICD-10-WHO,Conjunctivitis,,
A71,ICD-10-WHO,Trachoma,,
H26,ICD-10-WHO,Cataract,,
H54,ICD-10-WHO,Blindness,,
H52,ICD-10-WHO,Refractive Error,,
H40,ICD-10-WHO,Glaucoma,,
H53.5,ICD-10-WHO,Colour Blindness,,
H05.2,ICD-10-WHO,Exophthalmos,,
H00.0,ICD-10-WHO,Sty,,
H00.1,ICD-10-WHO,Chalazion,,
H11.0,ICD-10-WHO,Pterygium,,
E14.3†,ICD-10-WHO,Diabetic Retinopathy,,
H35,ICD-10-WHO,Hypertensive Retinopathy,,
H02,ICD-10-WHO,Entropion,,
H02.1,ICD-10-WHO,Ectropion,,
H26.1,ICD-10-WHO,Traumatic Eye Disease,,
H20,ICD-10-WHO,Uveitis,,
H35.3,ICD-10-WHO,Macular Degeneration (age related),,
H53.0,ICD-10-WHO,Amblyopia (Lazy eye),,
H50,ICD-10-WHO,Squint,,
H35.5,ICD-10-WHO,Retinitis Pigmentosa,,
H53.6,ICD-10-WHO,Nightblindness/Visual Disturbance,,
C69.2,ICD-10-WHO,Retinoblastoma,,
O00,ICD-10-WHO,Ectopic Pregnancy,,
O08,ICD-10-WHO,Abortion Complication,,
O13,ICD-10-WHO,Pregnancy Induced Hypertension (PIH),,
O14,ICD-10-WHO,Severe/ Pre‐Eclampsia,,
O15.0,ICD-10-WHO,Antepartum Eclampsia,,
O15.1,ICD-10-WHO,Intrapartum Eclampsia,,
O15.2,ICD-10-WHO,Postpartum Eclampsia,,
O21,ICD-10-WHO,Hyperemesis Grivadarum,,
O46,ICD-10-WHO,Antepartum Haemorrhage,,
O63,ICD-10-WHO,Prolonged labour,,
O64‐O66,ICD-10-WHO,Obstructed Labor,,
S37,ICD-10-WHO,Ruptured Uterus,,
O72,ICD-10-WHO,Postpartum Haemorrhage,,
O73,ICD-10-WHO,Retained Placenta,,
O75,ICD-10-WHO,Other Complications of Labor and Delivery,,
O85,ICD-10-WHO,Pueperal Sepsis,,
N73,ICD-10-WHO,Pelvic Inflammatory Disease (PID),,
N81.4,ICD-10-WHO,Prolapsed Uterus,,
N92,ICD-10-WHO,Menstrual Disorder,,
N93,ICD-10-WHO,Disfunctional Uterine Bleeding (DUB),,
N97,ICD-10-WHO,Sub‐ Fertility (Female),,
N46,ICD-10-WHO,Sub‐ Fertility/ Infertility (Male),,
F03,ICD-10-WHO,Dementia,,
F10,ICD-10-WHO,"Addiction (ch. acoholisim, Dipsomania, drug)",,
F20,ICD-10-WHO,Schizophrenia,,
F29,ICD-10-WHO,Psychosis,,
F31,ICD-10-WHO,Bipolar Affective Disorder,,
F32,ICD-10-WHO,Depression,,
F40,ICD-10-WHO,Phobic Anxiety,,
F41,ICD-10-WHO,Other Anxiety,,
F42,ICD-10-WHO,Obsessive ‐ Compulsive Disorder,,
F44,ICD-10-WHO,Conversive Disorder (Hysteria),,
F48,ICD-10-WHO,Neurosis,,
F79,ICD-10-WHO,Mental Retardation,,
G40,ICD-10-WHO,Epilepsy,,
G43,ICD-10-WHO,Migraine,,
F99,ICD-10-WHO,Mental Illness (Mental Disorder),,
C50,ICD-10-WHO,Breast Cancer,,
C53,ICD-10-WHO,Cervical/ Uteri Cancer,,
C34,ICD-10-WHO,Lung/ Brunchial Cancer,,
C15,ICD-10-WHO,Oesophagus Cancer,,
C16,ICD-10-WHO,Stomach Cancer,,
C73,ICD-10-WHO,Thyroid Cancer,,
C22,ICD-10-WHO,Liver Cancer,,
C25,ICD-10-WHO,Pancreatic Cancer,,
C79.5,ICD-10-WHO,Bone/ Bone Marrow Cancer,,
C23,ICD-10-WHO,Gall Bladder Cancer,,
C19,ICD-10-WHO,Colorectal (Colon With Rectum) Cancer,,
C06,ICD-10-WHO,Oral Cancer,,
C85,ICD-10-WHO,Lymphoma Cancer,,
C56,ICD-10-WHO,Ovary Cancer,,
C67,ICD-10-WHO,Urinary Bladder Cancer,,
C11,ICD-10-WHO,Nasopharyngeal Cancer,,
C49.0,ICD-10-WHO,Head & Neck Cancer,,
C80,ICD-10-WHO,Other Cancer,,
I10,ICD-10-WHO,Hypertension,,
I50.0,ICD-10-WHO,Congestive Heart Failure ,,
I50.9,ICD-10-WHO,Cardiac Heart Failure,,
J44,ICD-10-WHO,Chronic Obstructive Pulmonary Disease (COPD),,
I01,ICD-10-WHO,Acute Rheumatic Fever,,
I09,ICD-10-WHO,Rheumatic Heart Disease (RHD),,
I24,ICD-10-WHO,Ischemic Heart Disease,,
I52,ICD-10-WHO,Other Cardiovascular Problems,,
J45,ICD-10-WHO,Bronchial Asthma,,
N17,ICD-10-WHO,Acute Renal Failure,,
N18,ICD-10-WHO,Chronic Renal Failure,,
N05,ICD-10-WHO,Nephritis,,
N04,ICD-10-WHO,Nephrotic Syndrome,,
R51,ICD-10-WHO,Headache,,
R50,ICD-10-WHO,Pyrexia Of Unknown Origin (PUO),,
K29,ICD-10-WHO,Gastritis (APD),,
W57,ICD-10-WHO,Insect/Wasp Bite,,
R10,ICD-10-WHO,Abdominal Pain,,
K74,ICD-10-WHO,Cirrhosis Of Liver,,
T30,ICD-10-WHO,Burns And Scalds,,
T65,ICD-10-WHO,Toxic Effect,,
W54,ICD-10-WHO,Dog Bite,,
A82,ICD-10-WHO,Other Rabies Susceptible Animal Bite,,
T63.0,ICD-10-WHO,Snake Bite: Poisonous,,
W59,ICD-10-WHO,Snake Bite: Non‐Poisonous,,
Z73,ICD-10-WHO,Physical Disability (Disabled Person),,
T14,ICD-10-WHO,Falls/ Injuries/ Fractures,,
V89,ICD-10-WHO,Road Traffic Accident (RTA),,
M06,ICD-10-WHO,Rheumatoid Arthritis,,
M13,ICD-10-WHO,Arthritis,,
M19,ICD-10-WHO,Osteo Arthrosis,,
M54.9,ICD-10-WHO,Back Ache (Musculo‐ Skeletal Pain),,
K27,ICD-10-WHO,Acid Peptic Disorders,,
K60.2,ICD-10-WHO,Anal Fissure,,
K60.3,ICD-10-WHO,Anal Fistula,,
K63.2,ICD-10-WHO,Fistula Of Intestine,,
N20.0,ICD-10-WHO,Renal Stones,,
N63,ICD-10-WHO,Breast Lumps (Adenoma),,
N61,ICD-10-WHO,Mastitis (Ignored Breast)/Breast Abscess,,
N64.4,ICD-10-WHO,Mastalgia Breast,,
D17,ICD-10-WHO,Lumps (Lipoma),,
L72.1,ICD-10-WHO,Sebaceous Cyst,,
J32,ICD-10-WHO,Pilonidal Sinus,,
K37,ICD-10-WHO,Appendicitis,,
K81,ICD-10-WHO,Cholecystitis,,
K80,ICD-10-WHO,Cholelithiasis (Gall Stone),,
K46,ICD-10-WHO,Hernia,,
N43,ICD-10-WHO,Hydrocoele,,
N47,ICD-10-WHO,Phimosis/Para‐Phimosis,,
I84,ICD-10-WHO,Haemorrhoids/Piles,,
N45,ICD-10-WHO,Epididymitis/ Orchitis,,
N41,ICD-10-WHO,Prostatism (Bep/Bph),,
R69,ICD-10-WHO,Not Mentioned Above And Other,,
