uuid,name,shortname,description,class,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,child.11,child.12,child.13,child.14,child.15,child.16,child.17,child.18,child.19,child.20,child.21,child.22,child.23,child.24,child.25,child.26,referenceTermSource,referenceTermCode,referenceTermRelationship
,Eye Problems,Eye Problems,,Misc,Conjunctivitis,Trachoma,Cataract,Blindness,Refractive Error,Glaucoma,Colour Blindness,Exophthalmos,Sty,Chalazion,Pterygium,Diabetic Retinopathy,Hypertensive Retinopathy,Entropion,Ectropion,Traumatic Eye Disease,Uveitis,Age Related Macular Degeneration,Amblyopia,Squint,Retinitis Pigmentosa,Night Blindness,Retinoblastoma,,,,,,
,Obstetrics Complications,Obstetrics Complications,,Misc,Ectopic Pregnancy,Abortion Complication,Pregnancy Induced Hypertension,Pre‐Eclampsia,Antepartum Eclampsia,Intrapartum Eclampsia,Postpartum Eclampsia,Hyperemesis Grivadarum,Antepartum Haemorrhage,Prolonged Labour,Obstructed Labor,Ruptured Uterus,Postpartum Haemorrhage,Retained Placenta,Other Complications Of Labor And Delivery,Pueperal Sepsis,Pelvic Inflammatory Disease,,,,,,,,,,,,
,Gynae Problems,Gynae Problems,,Misc,Pelvic Inflammatory Disease,Prolapsed Uterus,Menstrual Disorder,Dysfunctional Uterine Bleeding,Sub‐Fertility (Female),Sub‐Fertility (Male),,,,,,,,,,,,,,,,,,,,,,,
,Mental Health Related Problems,Mental Health Related Problems,,Misc,Dementia,Addiction,Schizophrenia,Psychosis,Bipolar Affective Disorder,Depression,Phobic Anxiety,Other Anxiety,Obsessive-Compulsive Disorder,Conversive Disorder,Neurosis,Mental Retardation,Epilepsy,Migraine,Mental Illness,,,,,,,,,,,,,,
,Malignancy,Malignancy,,Misc,Breast Cancer,Cervical Cancer,Lung Cancer,Oesophagus Cancer,Stomach Cancer,Thyroid Cancer,Liver Cancer,Pancreatic Cancer,Bone  Marrow Cancer,Gall Bladder Cancer,Colorectal Cancer,Oral Cancer,Lymphoma Cancer,Ovary Cancer,Urinary Bladder Cancer,Nasopharyngeal Cancer,Head & Neck Cancer,Other Cancer,,,,,,,,,,,
,Cardiovascular and Respiratory Related Problems,Cardiovascular and Respiratory Related Problems,,Misc,Hypertension,Congestive Heart Failure ,Cardiac Heart Failure,Chronic Obstructive Pulmonary Disease,Acute Rheumatic Fever,Rheumatic Heart Disease,Ischemic Heart Disease,Other Cardiovascular Problems,Bronchial Asthma,,,,,,,,,,,,,,,,,,,,
,Other Diseases and Injuries,Other Diseases and Injuries,,Misc,Acute Renal Failure,Chronic Renal Failure,Nephritis,Nephrotic Syndrome,Headache,Pyrexia Of Unknown Origin,Gastritis,Insect Bite,Abdominal Pain,Cirrhosis Of Liver,Burns And Scalds,Toxic Effect,Dog Bite,Other Rabies Susceptible Animal Bite,Snake Bite: Poisonous,Snake Bite: Non‐Poisonous,Physical Disability,,,,,,,,,,,,
,Orthopaedic Problems,Orthopaedic Problems,,Misc,Falls,Road Traffic Accident,Rheumatoid Arthritis,Arthritis,Osteo Arthrosis,Back Ache,,,,,,,,,,,,,,,,,,,,,,,
,Surgical Problems,Surgical Problems,,Misc,Acid Peptic Disorders,Anal Fissure,Anal Fistula,Fistula Of Intestine,Renal Stones,Breast Lumps,Mastitis,Mastalgia Breast,Lumps,Sebaceous Cyst,Pilonidal Sinus,Appendicitis,Cholecystitis,Cholelithiasis,Hernia,Hydrocoele,Phimosis,Haemorrhoids,Epididymitis,Prostatism,Not Mentioned Above And Other,,,,,,,,
,Diagnosis Set of Sets,Diagnosis Set of Sets,,Misc,"Communicable, Immunizable","Communicable, Vector Borne","Communicable, Water/Food Borne",Other Communicable Diseases,HIV/STI,Other Infected Diseases,Nutritional and Metabolic Disorder,Skin Diseases,"Ear, Nose and Throat Infection",Oral Health Related Problems,Eye Problems,Obstetrics Complications,Gynae Problems,Mental Health Related Problems,Malignancy,Cardiovascular and Respiratory Related Problems,Other Diseases and Injuries,Orthopaedic Problems,Surgical Problems,,,,,,,,,,
