name,description,class,datatype,shortname,synonym.1,synonym.2,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6
Nephroblastoma – Disease work-up – Pre operative chemotherapy – Regimen,,Misc,Coded,Regimen,,,,,,Nephroblastoma – Disease work-up - Post operative chemotherapy – Regimen – Vincristine / Actinomycin D,Nephroblastoma – Disease work-up - Post operative chemotherapy – Regimen – Vincristine / Actinomycin D / Doxorubicin,,,,
Nephroblastoma – Disease work-up – Pre operative chemotherapy – Cycles,,Misc,Text,Cycles,,,,,,,,,,,
Nephroblastoma – Disease work-up – Pre operative chemotherapy – Planned First Cycle,,Misc,Date,Planned First Cycle – Start date,,,,,,,,,,,
Nephroblastoma – Disease work-up – Pre operative chemotherapy – Planned regiment end,,Misc,Date,Planned regiment end,,,,,,,,,,,
Nephroblastoma – Disease work-up – Pre operative chemotherapy – Planned changes to standard regimen,,Misc,Text,Planned changes to standard regimen,,,,,,,,,,,
Nephroblastoma – Disease work-up – Surgery – Planned,,Misc,N/A,Planned,,,,,,,,,,,
Nephroblastoma – Disease work-up – Surgery – Not Planned,,Misc,N/A,Not Planned,,,,,,,,,,,
Nephroblastoma – Disease work-up – Surgery,,Misc,Coded,Surgery,,,,,,Nephroblastoma – Disease work-up – Surgery – Planned,Nephroblastoma – Disease work-up – Surgery – Not Planned,,,,
Nephroblastoma – Disease work-up – Surgery – Facility - CHUK,,Misc,N/A,CHUK,,,,,,,,,,,
Nephroblastoma – Disease work-up – Surgery – Facility – Other,,Misc,N/A,Other,,,,,,,,,,,
Nephroblastoma – Disease work-up – Surgery – Facility – Other Details,,Misc,Text,Other Details,,,,,,,,,,,
Nephroblastoma – Disease work-up – Surgery – Facility ,,Misc,Coded,Facility,,,,,,Nephroblastoma – Disease work-up – Surgery – Facility - CHUK,Nephroblastoma – Disease work-up – Surgery – Facility – Other,,,,
Nephroblastoma – Disease work-up – Surgery – Planned Date,,Misc,Date,Planned Date,,,,,,,,,,,
Nephroblastoma – Disease work-up – Surgery Type – Left Side – Partial nephrectomy,,Misc,N/A,Partial nephrectomy,,,,,,,,,,,
Nephroblastoma – Disease work-up – Surgery Type – Left Side – Total nephrectomy,,Misc,N/A,Total nephrectomy,,,,,,,,,,,
Nephroblastoma – Disease work-up – Surgery Type – Left Side – Other,,Misc,N/A,Other,,,,,,,,,,,
Nephroblastoma – Disease work-up – Surgery Type – Left Side – Other details,,Misc,Text,Other Details,,,,,,,,,,,
Nephroblastoma – Disease work-up – Surgery Type – Left Side,,Misc,Coded,Left Side,,,,,,Nephroblastoma – Disease work-up – Surgery Type – Left Side – Partial nephrectomy,Nephroblastoma – Disease work-up – Surgery Type – Left Side – Total nephrectomy,Nephroblastoma – Disease work-up – Surgery Type – Left Side – Other,,,
Nephroblastoma – Disease work-up – Surgery Type – Right Side – Partial nephrectomy,,Misc,N/A,Partial nephrectomy,,,,,,,,,,,
Nephroblastoma – Disease work-up – Surgery Type – Right Side – Total nephrectomy,,Misc,N/A,Total nephrectomy,,,,,,,,,,,
Nephroblastoma – Disease work-up – Surgery Type – Right Side – Other,,Misc,N/A,Other,,,,,,,,,,,
Nephroblastoma – Disease work-up – Surgery Type – Right Side – Other details,,Misc,Text,Other Details,,,,,,,,,,,
Nephroblastoma – Disease work-up – Surgery Type – Right Side,,Misc,Coded,Right Side,,,,,,Nephroblastoma – Disease work-up – Surgery Type – Right Side – Partial nephrectomy,Nephroblastoma – Disease work-up – Surgery Type – Right Side – Total nephrectomy,Nephroblastoma – Disease work-up – Surgery Type – Right Side – Other,,,
Nephroblastoma – Final diagnosis & staging  – Notes from Operative report,,Misc,Text,Notes from Operative report / Consultation with Surgeon,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – Date of surgery,,Misc,Date,Date of surgery,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – Institution – CHUK,,Misc,N/A,CHUK,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – Institution – Other,,Misc,N/A,Other,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – Institution – Other details,,Misc,Text,Other Details,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – Institution,,Misc,Coded,Institution,,,,,,Nephroblastoma – Final diagnosis & staging – Institution – CHUK,Nephroblastoma – Final diagnosis & staging – Institution – Other,,,,
Nephroblastoma – Final diagnosis & staging – Surgical Procedure – Left Side – Partial nephrectomy,,Misc,N/A,Partial nephrectomy,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – Surgical Procedure – Left Side – Total nephrectomy,,Misc,N/A,Total nephrectomy,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – Surgical Procedure – Left Side – Other,,Misc,N/A,Other,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – Surgical Procedure – Left Side – Other details,,Misc,Text,Other Details,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – Surgical Procedure – Left Side,,Misc,N/A,Left Side,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – Surgical Procedure – Right Side – Partial nephrectomy,,Misc,Coded,Partial nephrectomy,,,,,,Nephroblastoma – Final diagnosis & staging – Surgical Procedure – Left Side – Partial nephrectomy,Nephroblastoma – Final diagnosis & staging – Surgical Procedure – Left Side – Total nephrectomy,Nephroblastoma – Final diagnosis & staging – Surgical Procedure – Left Side – Other,,,
Nephroblastoma – Final diagnosis & staging – Surgical Procedure – Right Side – Total nephrectomy,,Misc,N/A,Total nephrectomy,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – Surgical Procedure – Right Side – Other,,Misc,N/A,Other,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – Surgical Procedure – Right Side – Other details,,Misc,Text,Other Details,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – Surgical Procedure – Right Side,,Misc,Coded,Right Side,,,,,,Nephroblastoma – Final diagnosis & staging – Surgical Procedure – Right Side – Partial nephrectomy,Nephroblastoma – Final diagnosis & staging – Surgical Procedure – Right Side – Total nephrectomy,Nephroblastoma – Final diagnosis & staging – Surgical Procedure – Right Side – Other,,,
Nephroblastoma – Final diagnosis & staging – Surgical Procedure – Other Notes,,Misc,Text,Other Notes,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – Surgical Pathology report date,,Misc,Date,Surgical Pathology report date,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – Pathology Inst – BWH,,Misc,N/A,BWH,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – Pathology Inst – Butaro,,Misc,N/A,Butaro,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – Pathology Inst – KFH,,Misc,N/A,KFH,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – Pathology Inst – CHUK,,Misc,N/A,CHUK,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – Pathology Inst – CHUB,,Misc,N/A,CHUB,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – Pathology Inst – Other,,Misc,N/A,Other,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – Pathology Inst – Other details,,Misc,Text,Other Details,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – Institute issuing surgical pathology report,,Misc,Coded,Institute issuing surgical pathology report,,,,,,Nephroblastoma – Final diagnosis & staging – Pathology Inst – BWH,Nephroblastoma – Final diagnosis & staging – Pathology Inst – Butaro,Nephroblastoma – Final diagnosis & staging – Pathology Inst – KFH,Nephroblastoma – Final diagnosis & staging – Pathology Inst – CHUK,Nephroblastoma – Final diagnosis & staging – Pathology Inst – CHUB,Nephroblastoma – Final diagnosis & staging – Pathology Inst – Other
Nephroblastoma – Final diagnosis & staging – Pathalogic Diagnostic – Nephroblastoma,,Misc,Boolean,Nephroblastoma (Wilm's Tumor),,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – Pathalogic Diagnostic – Other,,Misc,N/A,Other,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – Pathalogic Diagnostic – Other details,,Misc,N/A,Other Details,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – Confirmed Stage – Overall Stage - 0 ,,Misc,N/A,0,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – Confirmed Stage – Overall Stage – 1,,Misc,N/A,I,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – Confirmed Stage – Overall Stage - 2 ,,Misc,N/A,II,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – Confirmed Stage – Overall Stage - 3 ,,Misc,N/A,III,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – Confirmed Stage – Overall Stage – 4,,Misc,N/A,IV,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – Confirmed Stage – Overall Stage – 5,,Misc,N/A,V,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – Confirmed Stage – Overall Stage,,Misc,Coded,Over Stage,,,,,,Nephroblastoma – Final diagnosis & staging – Confirmed Stage – Overall Stage - 0 ,Nephroblastoma – Final diagnosis & staging – Confirmed Stage – Overall Stage – 1,Nephroblastoma – Final diagnosis & staging – Confirmed Stage – Overall Stage - 2 ,Nephroblastoma – Final diagnosis & staging – Confirmed Stage – Overall Stage - 3 ,Nephroblastoma – Final diagnosis & staging – Confirmed Stage – Overall Stage – 4,Nephroblastoma – Final diagnosis & staging – Confirmed Stage – Overall Stage – 5
Nephroblastoma – Final diagnosis & staging – If stage 5 – Right – 1,,Misc,N/A,I,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – If stage 5 – Right – 2,,Misc,N/A,II,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – If stage 5 – Right – 3,,Misc,N/A,III,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – If stage 5 – Right,,Misc,Coded,Right,,,,,,Nephroblastoma – Final diagnosis & staging – If stage 5 – Right – 1,Nephroblastoma – Final diagnosis & staging – If stage 5 – Right – 2,Nephroblastoma – Final diagnosis & staging – If stage 5 – Right – 3,,,
Nephroblastoma – Final diagnosis & staging – If stage 5 – Left – 1,,Misc,N/A,I,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – If stage 5 – Left – 2,,Misc,N/A,II,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – If stage 5 – Left – 3,,Misc,N/A,III,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – If stage 5 – Left,,Misc,Coded,Left,,,,,,Nephroblastoma – Final diagnosis & staging – If stage 5 – Left – 1,Nephroblastoma – Final diagnosis & staging – If stage 5 – Left – 2,Nephroblastoma – Final diagnosis & staging – If stage 5 – Left – 3,,,
Nephroblastoma – Final diagnosis & staging – Post operative treatment plan – Intent - Curative ,,Misc,N/A,Curative,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – Post operative treatment plan – Intent – Palliative systemic therapy,,Misc,N/A,Palliative systemic therapy,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – Post operative treatment plan – Intent – Palliation Only,,Misc,N/A,Palliation only,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – Post operative treatment plan – Intent,,Misc,Coded,Intent,,,,,,Nephroblastoma – Final diagnosis & staging – Post operative treatment plan – Intent - Curative ,Nephroblastoma – Final diagnosis & staging – Post operative treatment plan – Intent – Palliative systemic therapy,Nephroblastoma – Final diagnosis & staging – Post operative treatment plan – Intent – Palliation Only,,,
Nephroblastoma – Final diagnosis & staging – Post operative Chemotherapy – Planned,,Misc,N/A,Planned,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – Post operative Chemotherapy – Not Planned,,Misc,N/A,Not Planned,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – Post operative Chemotherapy,,Misc,Coded,Post operative Chemotherapy,,,,,,Nephroblastoma – Final diagnosis & staging – Post operative Chemotherapy – Planned,Nephroblastoma – Final diagnosis & staging – Post operative Chemotherapy – Not Planned,,,,
Nephroblastoma – Final diagnosis & staging - Post operative chemotherapy – Regimen – Vincristine / Actinomycin D,,Misc,N/A,Vincristine / Actinomycin D,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging - Post operative chemotherapy – Regimen – Vincristine / Actinomycin D / Doxorubicin,,Misc,N/A,Vincristine / Actinomycin D / Doxorubicin,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging - Post operative chemotherapy – Regimen,,Misc,Coded,Regimen,,,,,,Nephroblastoma – Final diagnosis & staging - Post operative chemotherapy – Regimen – Vincristine / Actinomycin D,Nephroblastoma – Final diagnosis & staging - Post operative chemotherapy – Regimen – Vincristine / Actinomycin D / Doxorubicin,,,,
Nephroblastoma – Final diagnosis & staging - Post operative chemotherapy – Cycles,,Misc,Text,Cycles,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging - Post operative chemotherapy – Planned First Cycle,,Misc,Date,Planned First Cycle – Start date,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging - Post operative chemotherapy – Planned Regimen Cycle,,Misc,Date,Planned First Cycle – End date,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging - Post operative chemotherapy – Planned Change to standard,,Misc,Text,Planned Change to standard,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – Radiation Therapy – Planned,,Misc,N/A,Planned,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – Radiation Therapy – Not Planned,,Misc,N/A,Not Planned,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – Radiation Therapy,,Misc,Coded,Radiation Therapy,,,,,,Nephroblastoma – Final diagnosis & staging – Radiation Therapy – Planned,Nephroblastoma – Final diagnosis & staging – Radiation Therapy – Not Planned,,,,
Nephroblastoma – Final diagnosis & staging – Radiation Therapy – Facility,,Misc,Text,Facility,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – Radiation Therapy – Planned date,,Misc,Date,Planned Date,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – Specialist consulted – Oncologist,,Misc,Text,Consulted Oncologist,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – Specialist consulted – Surgeon,,Misc,Text,Consulted Surgeon,,,,,,,,,,,
Nephroblastoma – Final diagnosis & staging – Staging and treatment plan confirmed by,,Misc,Text,Staging and treatment plan confirmed by,,,,,,,,,,,
