uuid,name,description,class,datatype,shortname,synonym.1,synonym.2,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6
,Gastric – Disease work up – Treatment Plan – Intent – Palliative systemic therapy,,Misc,N/A,Palliative systemic therapy,,,,,,,,,,,
,Gastric – Disease work up – Treatment Plan – Intent – Palliation Only,,Misc,N/A,Palliation Only,,,,,,,,,,,
,Gastric – Disease work up – Treatment Plan – Intent,,Misc,Coded,Intent,,,,,,Gastric – Disease work up – Treatment Plan – Intent - Curative,Gastric – Disease work up – Treatment Plan – Intent – Palliative systemic therapy,Gastric – Disease work up – Treatment Plan – Intent – Palliation Only,,,
,Gastric – Disease work up – Surgery – Planned,,Misc,N/A,Planned,,,,,,,,,,,
,Gastric – Disease work up – Surgery – Not Planned,,Misc,N/A,Not Planned,,,,,,,,,,,
,Gastric – Disease work up – Surgery,,Misc,Coded,Surgery,,,,,,Gastric – Disease work up – Surgery – Planned,Gastric – Disease work up – Surgery – Not Planned,,,,
,Gastric – Disease work up – Surgery – Facility – Butaro,,Misc,N/A,Butaro,,,,,,,,,,,
,Gastric – Disease work up – Surgery – Facility – CHUK,,Misc,N/A,CHUK,,,,,,,,,,,
,Gastric – Disease work up – Surgery – Facility – Other,,Misc,N/A,Other,,,,,,,,,,,
,Gastric – Disease work up – Surgery – Facility – Other – Other details,,Misc,Text,Other details,,,,,,,,,,,
,Gastric – Disease work up – Surgery – Facility,,Misc,Coded,Facility,,,,,,Gastric – Disease work up – Surgery – Facility – Butaro,Gastric – Disease work up – Surgery – Facility – CHUK,Gastric – Disease work up – Surgery – Facility – Other,,,
,Gastric – Disease work up – Surgery – Planned Date,,Misc,Date,Planned Date,,,,,,,,,,,
,Gastric – Disease work up – Surgery – Type of Surgery - Gatrectomy,,Misc,N/A,Gatrectomy,,,,,,,,,,,
,Gastric – Disease work up – Surgery – Type of Surgery - Esophagectomy,,Misc,N/A,Esophagectomy,,,,,,,,,,,
,Gastric – Disease work up – Surgery – Type of Surgery - Other,,Misc,N/A,Other,,,,,,,,,,,
,Gastric – Disease work up – Surgery – Type of Surgery – Other – Other Details,,Misc,Text,Other Details,,,,,,,,,,,
,Gastric – Disease work up – Surgery – Type of Surgery,,Misc,Coded,Type of Surgery,,,,,,Gastric – Disease work up – Surgery – Type of Surgery - Gatrectomy,Gastric – Disease work up – Surgery – Type of Surgery - Esophagectomy,Gastric – Disease work up – Surgery – Type of Surgery - Other,,,
,Gastric – Disease work up – Pre operative chemotherapy - Planned,,Misc,Text,Planned,,,,,,,,,,,
,Gastric – Disease work up – Pre operative chemotherapy – Not Planned,,Misc,Text,Not Planned,,,,,,,,,,,
,Gastric – Disease work up – Pre operative chemotherapy,,Misc,Coded,Pre operative chemotherapy,,,,,,Gastric – Disease work up – Pre operative chemotherapy - Planned,Gastric – Disease work up – Pre operative chemotherapy – Not Planned,,,,
,Gastric – Disease work up – Pre operative chemotherapy – Regimen - Folfox,,Misc,Boolean,Regimen – FOLFOX,,,,,,,,,,,
,Gastric – Disease work up – Pre operative chemotherapy – Cycles,,Misc,Text,Cycles,,,,,,,,,,,
,Gastric – Disease work up – Pre operative chemotherapy – Planned first cycle – Start Date,,Misc,Date,Planned first cycle – Start Date,,,,,,,,,,,
,Gastric – Disease work up – Pre operative chemotherapy – Planned regimen end – End Date,,Misc,Date,Planned regimen end – End Date,,,,,,,,,,,
,Gastric – Disease work up – Pre operative chemotherapy – Planned changes to standard regimen,,Misc,Text,Planned changes to standard regimen,,,,,,,,,,,
,Gastric – Disease work up – Post operative staging – Notes from Operative report / Consultation with Surgeon,,Misc,Text,Notes from Operative report / Consultation with Surgeon,,,,,,,,,,,
,Gastric – Disease work up – Post operative staging – Date of Surgery,,Misc,Date,Date of Surgery,,,,,,,,,,,
,Gastric – Disease work up – Post operative staging – Institution - Butaro,,Misc,N/A,Butaro,,,,,,,,,,,
,Gastric – Disease work up – Post operative staging – Institution – CHUK,,Misc,N/A,CHUK,,,,,,,,,,,
,Gastric – Disease work up – Post operative staging – Institution – Other,,Misc,N/A,Other,,,,,,,,,,,
,Gastric – Disease work up – Post operative staging – Institution – Other – Other details,,Misc,N/A,Other Details,,,,,,,,,,,
,Gastric – Disease work up – Post operative staging – Institution,,Misc,Coded,Institution,,,,,,Gastric – Disease work up – Post operative staging – Institution - Butaro,Gastric – Disease work up – Post operative staging – Institution – CHUK,Gastric – Disease work up – Post operative staging – Institution – Other,,,
,Gastric – Disease work up – Post operative staging – Procedure - Gastrectomy,,Misc,N/A,Gastrectomy,,,,,,,,,,,
,Gastric – Disease work up – Post operative staging – Procedure - Esophagectomy,,Misc,N/A,Esophagectomy,,,,,,,,,,,
,Gastric – Disease work up – Post operative staging – Procedure – Other,,Misc,N/A,Other,,,,,,,,,,,
,Gastric – Disease work up – Post operative staging – Procedure – Other – Other details,,Misc,Text,Other Details,,,,,,,,,,,
,Gastric – Disease work up – Post operative staging – Procedure,,Misc,Coded,Procedure,,,,,,Gastric – Disease work up – Post operative staging – Procedure - Gastrectomy,Gastric – Disease work up – Post operative staging – Procedure - Esophagectomy,Gastric – Disease work up – Post operative staging – Procedure – Other,,,
,Gastric – Disease work up – Post operative staging – Surgical Pathology Date,,Misc,Date,Surgical Pathology Date,,,,,,,,,,,
,Gastric – Disease work up – Post operative staging – Institute issuing surgical pathology report - BWH,,Misc,N/A,BWH,,,,,,,,,,,
,Gastric – Disease work up – Post operative staging – Institute issuing surgical pathology report - Butaro,,Misc,N/A,Butaro,,,,,,,,,,,
,Gastric – Disease work up – Post operative staging – Institute issuing surgical pathology report - CHUK,,Misc,N/A,CHUK,,,,,,,,,,,
,Gastric – Disease work up – Post operative staging – Institute issuing surgical pathology report - Other,,Misc,N/A,Other,,,,,,,,,,,
,Gastric – Disease work up – Post operative staging – Institute issuing surgical pathology report – Other – Other Details,,Misc,Text,Other Details,,,,,,,,,,,
,Gastric – Disease work up – Post operative staging – Institute issuing surgical pathology report,,Misc,Coded,Institute issuing surgical pathology report,,,,,,Gastric – Disease work up – Post operative staging – Institute issuing surgical pathology report - BWH,Gastric – Disease work up – Post operative staging – Institute issuing surgical pathology report - Butaro,Gastric – Disease work up – Post operative staging – Institute issuing surgical pathology report - CHUK,Gastric – Disease work up – Post operative staging – Institute issuing surgical pathology report - Other,,
,Gastric – Disease work up – Confirmed Diseases Stage – TNM Pathologic Staging - T,,Misc,Text,TNM Pathologic Staging - T,,,,,,,,,,,
,Gastric – Disease work up – Confirmed Diseases Stage – TNM Pathologic Staging – N,,Misc,Text,TNM Pathologic Staging – N,,,,,,,,,,,
,Gastric – Disease work up – Confirmed Diseases Stage – TNM Pathologic Staging – M,,Misc,Text,TNM Pathologic Staging – M,,,,,,,,,,,
,Gastric – Disease work up – Confirmed Diseases Stage – Overall Stage - 0,,Misc,N/A,0,,,,,,,,,,,
,Gastric – Disease work up – Confirmed Diseases Stage – Overall Stage – 1,,Misc,N/A,I,,,,,,,,,,,
,Gastric – Disease work up – Confirmed Diseases Stage – Overall Stage – 2,,Misc,N/A,II,,,,,,,,,,,
,Gastric – Disease work up – Confirmed Diseases Stage – Overall Stage – 3,,Misc,N/A,III,,,,,,,,,,,
,Gastric – Disease work up – Confirmed Diseases Stage – Overall Stage – 4,,Misc,N/A,IV,,,,,,,,,,,
,Gastric – Disease work up – Confirmed Diseases Stage – Overall Stage,,Misc,Coded,Overall Stage,,,,,,Gastric – Disease work up – Confirmed Diseases Stage – Overall Stage - 0,Gastric – Disease work up – Confirmed Diseases Stage – Overall Stage – 1,Gastric – Disease work up – Confirmed Diseases Stage – Overall Stage – 2,Gastric – Disease work up – Confirmed Diseases Stage – Overall Stage – 3,Gastric – Disease work up – Confirmed Diseases Stage – Overall Stage – 4,
,Gastric – Disease work up – Confirmed Diseases Stage – H Pylori Status – Positive,,Misc,N/A,Positive,,,,,,,,,,,
,Gastric – Disease work up – Confirmed Diseases Stage – H Pylori Status – Negative,,Misc,N/A,Negative,,,,,,,,,,,
,Gastric – Disease work up – Confirmed Diseases Stage – H Pylori Status – Not Determined,,Misc,N/A,Not Determined,,,,,,,,,,,
,Gastric – Disease work up – Confirmed Diseases Stage – H Pylori Status,,Misc,Coded,H Pylori Status,,,,,,Gastric – Disease work up – Confirmed Diseases Stage – H Pylori Status – Positive,Gastric – Disease work up – Confirmed Diseases Stage – H Pylori Status – Negative,Gastric – Disease work up – Confirmed Diseases Stage – H Pylori Status – Not Determined,,,
,Gastric – Disease work up – Post operative Chemotherapy – Planned,,Misc,N/A,Planned,,,,,,,,,,,
,Gastric – Disease work up – Post operative Chemotherapy – Not Planned,,Misc,N/A,Not Planned,,,,,,,,,,,
,Gastric – Disease work up – Post operative Chemotherapy,,Misc,Coded,Post-operative Chemotheraly,,,,,,Gastric – Disease work up – Post operative Chemotherapy – Planned,Gastric – Disease work up – Post operative Chemotherapy – Not Planned,,,,
,Gastric – Disease work up – Post operative Chemotherapy – Regimen – FOLFOX,,Misc,Boolean,Regimen – FOLFOX,,,,,,,,,,,
,Gastric – Disease work up – Post operative Chemotherapy – Regimen – Planned first cycle,,Misc,Date,Planned first cycle – Start Date,,,,,,,,,,,
,Gastric – Disease work up – Post operative Chemotherapy – Regimen – Planned regimen end,,Misc,Date,Planned regimen end – End Date,,,,,,,,,,,
,Gastric – Disease work up – Post operative Chemotherapy – Regimen – Planned changes to standard regimen,,Misc,Text,Planned changes to standard regimen,,,,,,,,,,,
,Gastric – Disease work up – Radiation Therapy – Planned,,Misc,N/A,Planned,,,,,,,,,,,
,Gastric – Disease work up – Radiation Therapy – Not Planned,,Misc,N/A,Not Planned,,,,,,,,,,,
,Gastric – Disease work up – Radiation Therapy,,Misc,Coded,Radiation Therapy,,,,,,Gastric – Disease work up – Radiation Therapy – Planned,Gastric – Disease work up – Radiation Therapy – Not Planned,,,,
,Gastric – Disease work up – Radiation Therapy – Facility,,Misc,Text,Radiation Therapy – Facility,,,,,,,,,,,
,Gastric – Disease work up – Radiation Therapy – Planned Date,,Misc,Date,Planned Date,,,,,,,,,,,
,Gastric – Disease work up –Specialist consulted – Oncologist,,Misc,Text,Consulted Oncologist,,,,,,,,,,,
,Gastric – Disease work up –Specialist consulted – Surgeon,,Misc,Text,Consulted Surgeon,,,,,,,,,,,
,Gastric – Disease work up –Specialist consulted – Staging and treatment plan confirmed by,,Misc,Text,Staging and treatment plan confirmed by,,,,,,,,,,,
