uuid,name,description,class,datatype,shortname,reference-term-code,reference-term-relationship,reference-term-source,synonym.1,answer.1
,Do Not Know,,Misc,N/A,Do Not Know,,,,,
,"Side effect, Drowsiness",,Misc,N/A,Drowsiness,,,,,
,Drug stockout,,Misc,N/A,Drug stockout,,,,,
,Earlier ART,,Misc,N/A,Earlier ART,,,,,
,Employed,,Misc,N/A,Employed,,,,,
,Exclusive Breast Feeding,,Misc,N/A,Exclusive Breast Feeding,,,,,
,Extra Pulmonary,,Misc,N/A,Extra Pulmonary,,,,,
,Failure,,Misc,N/A,Failure,,,,,
,"Side effect, Fatigue",,Misc,N/A,Fatigue,,,,,
,Female,,Misc,N/A,Female,,,,,
,"Side effect, Fever",,Misc,N/A,Fever,,,,,
,Forceps Delivery,,Misc,N/A,Forceps Delivery,,,,,
,Genital Ulcer Disease Syndrome,,Misc,N/A,Genital Ulcer Disease Syndrome,,,,,
,Government,,Misc,N/A,Government,,,,,
,Habitual,,Misc,N/A,Habitual,,,,,
,"Side effect, Headache",,Misc,N/A,Headache,,,,,
,Herpes Genitalis,,Misc,N/A,Herpes Genitalis,,,,,
,Herpes Genitalis Opportunistic Infection,,Misc,N/A,Herpes Genitalis,,,,,
,Herpes Zoster Opportunistic Infection,,Misc,N/A,Herpes Zoster,,,,,
,HIV Testing and Counseling,,Misc,N/A,HTC,,,,,
,HIV/AIDS Symptoms,,Misc,N/A,HIV/AIDS Symptoms,,,,,
,"Side effect, Hypersensitivity",,Misc,N/A,Hypersensitivity,,,,,
,Illness hospitalization,,Misc,N/A,Illness hospitalization,,,,,
,Immunological failure,,Misc,N/A,Immunological failure,,,,,
,Implant,,Misc,N/A,Implant,,,,,
,Inguinal Bubo Syndrome,,Misc,N/A,Inguinal Bubo Syndrome,,,,,
,Inpatient,,Misc,N/A,Inpatient,,,,,
,Intra Uterine Contraceptive Device,,Misc,N/A,IUCD,,,,,
,Intrapartum,,Misc,N/A,Intrapartum,,,,,
,"Side effect, Jaundice",,Misc,N/A,Jaundice,,,,,
,"Side effect, Lipodystrophy",,Misc,N/A,Lipodystrophy,,,,,
,Literate,,Misc,N/A,Literate,,,,,
,Livebirth,,Misc,N/A,Livebirth,,,,,
,Lost to Follow-up,,Misc,N/A,Lost to Follow-up,,,,,
,Lower Abdominal Pain Syndrome,,Misc,N/A,Lower Abdominal Pain Syndrome,,,,,
,Male,,Misc,N/A,Male,,,,,
,Migrant,,Misc,N/A,Migrant,,,,,
,Missing,,Misc,N/A,Missing,,,,,
,Mixed Breast Feeding,,Misc,N/A,Mixed Breast Feeding,,,,,
,MSM and Transgenders,,Misc,N/A,MSM and Transgenders,,,,,
,"Side effect, Nau-nausea",,Misc,N/A,Nau-nausea,,,,,
,Negative,,Misc,N/A,Negative,,,,,
,"Side effect, Neuropathy",,Misc,N/A,Neuropathy,,,,,
,New,,Misc,N/A,New,,,,,
,New drug available,,Misc,N/A,New drug available,,,,,
,Newly diagnosed TB,,Misc,N/A,Newly diagnosed TB,,,,,
,Non-governmental Organization,,Misc,N/A,NGO,,,,,
,None,,Misc,N/A,None,,,,,
,Normal Delivery,,Misc,N/A,Normal Delivery,,,,,
,Not Applicable,,Misc,N/A,Not Applicable,,,,,
,Not evaluated,,Misc,N/A,Not evaluated,,,,,
,On Treatment,,Misc,N/A,On Treatment,,,,,
,Ontime Pill Pickup,,Misc,N/A,Ontime Pill Pickup,,,,,
,Oral Contraceptives,,Misc,N/A,Oral Contraceptives,,,,,
,Others,,Misc,N/A,Others,,,,,
,Outpatient,,Misc,N/A,Outpatient,,,,,
,Outreach/Special Services,,Misc,N/A,Outreach/Special Services,,,,,
,Paediatric,,Misc,N/A,Paediatric,,,,,
,"Side effect, Pancreatitis",,Misc,N/A,Pancreatitis,,,,,
,Patient decision,,Misc,N/A,Patient decision,,,,,
,Patient lack of finance,,Misc,N/A,Patient lack of finance,,,,,
,People Who Inject Drugs,,Misc,N/A,People Who Inject Drugs,,,,,
,Permanent,,Misc,N/A,Permanent,,,,,
,Planned treatment interruption,,Misc,N/A,Planned treatment interruption,,,,,
,Pneumocysitis Pneumonia Opportunistic Infection,,Misc,N/A,Pneumocysitis Pneumonia,,,,,
,Poor adherence,,Misc,N/A,Poor adherence,,,,,
,Positive,,Misc,N/A,Positive,,,,,
,Postnatal,,Misc,N/A,Postnatal,,,,,
,Postpartum,,Misc,N/A,Postpartum,,,,,
,Pregnancy,,Misc,N/A,Pregnancy,,,,,
,Prevention of Mother-to-child Transmission,,Misc,N/A,PMTCT,,,,,
,Private,,Misc,N/A,Private,,,,,
,Private Health Facility,,Misc,N/A,Private Health Facility,,,,,
,Pulmonary(BC),,Misc,N/A,Pulmonary(BC),,,,,
,Pulmonary(CD),,Misc,N/A,Pulmonary(CD),,,,,
,Refer for other FP services,,Misc,N/A,Refer for other FP services,,,,,
,Referral In,,Misc,N/A,In,,,,,
,Referral Out,,Misc,N/A,Out,,,,,
,Regular,,Misc,N/A,Regular,,,,,
,Replacement Breast Feeding,,Misc,N/A,Replacement Breast Feeding,,,,,
,Restarted,,Misc,N/A,Restarted,,,,,
,Retention on first line,,Misc,N/A,Retention on first line,,,,,
,Retention on treament,,Misc,N/A,Retention on treament,,,,,
,Risk of pregnancy,,Misc,N/A,Risk of pregnancy,,,,,
,Scortal Swelling Syndrome,,Misc,N/A,Scortal Swelling Syndrome,,,,,
,Self Referred,,Misc,N/A,Self Referred,,,,,
,Sex Worker,,Misc,N/A,Sex Worker,,,,,
,Sextually Transmitted Infection,,Misc,N/A,STI,,,,,
,"Side effect, Skin rash",,Misc,N/A,Skin rash,,,,,
,Social,,Misc,N/A,Social,,,,,
,Spouse/Partner of Migrant,,Misc,N/A,Spouse/Partner of Migrant,,,,,
,Stage I,,Misc,N/A,I,,,,,
,Stage II,,Misc,N/A,II,,,,,
,Stage III,,Misc,N/A,III,,,,,
,Stage IV,,Misc,N/A,IV,,,,,
,Stillbirth,,Misc,N/A,Stillbirth,,,,,
,Stillbirth Macerated,,Misc,N/A,Stillbirth Macerated,,,,,
,Stopped Treatment,,Misc,N/A,Stopped Treatment,,,,,
,Taxoplasmosis Opportunistic Infection,,Misc,N/A,Taxoplasmosis,,,,,
,Toxicity side effects,,Misc,N/A,Toxicity side effects,,,,,
,Transfer In,,Misc,N/A,Transfer In,,,,,
,Transferred out,,Misc,N/A,Transferred out,,,,,
,Transgender,,Misc,N/A,Transgender,,,,,
,Treatment failure,,Misc,N/A,Treatment failure,,,,,
,Tuberculosis Reason for HIV Test,,Misc,N/A,Tuberculosis,,,,,
,Tuberculosis Entry Point,,Misc,N/A,Tuberculosis,,,,,
,Tuberculosis Opportunistic Infection,,Misc,N/A,Tuberculosis,,,,,
,Urethral Discharge Syndrome,,Misc,N/A,Urethral Discharge Syndrome,,,,,
,Vaccum Delivery,,Misc,N/A,Vaccum Delivery,,,,,
,Vaginal Discharge Syndrome,,Misc,N/A,Vaginal Discharge Syndrome,,,,,
,Vaginitis,,Misc,N/A,Vaginitis,,,,,
,Viral Load Suppression,,Misc,N/A,Viral Load Suppression,,,,,
,Virologic failure,,Misc,N/A,Virologic failure,,,,,
,"Side effect, Vomiting",,Misc,N/A,Vomiting,,,,,
