name,description,class,datatype,shortname,synonym.1,synonym.2,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6
KS_DST – Final Diagnosis & Staging – Confirmed Diagnosis Details – Edema,,Misc,Coded,Edema,,,,,,KS_DST – Final Diagnosis & Staging – Confirmed Diagnosis Details – Edema – Indurated,KS_DST – Final Diagnosis & Staging – Confirmed Diagnosis Details – Edema – Hard,,,,
KS_DST – Final Diagnosis & Staging – Confirmed Diagnosis Details – Probable Visceral Involvement – Lung,,Misc,N/A,Lung,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Confirmed Diagnosis Details – Probable Visceral Involvement – Liver,,Misc,N/A,Liver,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Confirmed Diagnosis Details – Probable Visceral Involvement – GI,,Misc,N/A,GI,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Confirmed Diagnosis Details – Probable Visceral Involvement – Other,,Misc,N/A,Other,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Confirmed Diagnosis Details – Probable Visceral Involvement – Other – Other details,,Misc,Text,Other Details,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Confirmed Diagnosis Details – Probable Visceral Involvement,,Misc,Coded,Probable Visceral Involvement,,,,,,KS_DST – Final Diagnosis & Staging – Confirmed Diagnosis Details – Probable Visceral Involvement – Lung,KS_DST – Final Diagnosis & Staging – Confirmed Diagnosis Details – Probable Visceral Involvement – Liver,KS_DST – Final Diagnosis & Staging – Confirmed Diagnosis Details – Probable Visceral Involvement – GI,KS_DST – Final Diagnosis & Staging – Confirmed Diagnosis Details – Probable Visceral Involvement – Other,,
KS_DST – Final Diagnosis & Staging – Confirmed Diagnosis Details – Systemic Illness – Night Sweats,,Misc,N/A,Night Sweats,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Confirmed Diagnosis Details – Systemic Illness – Unexplained fever,,Misc,N/A,Unexplained fever,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Confirmed Diagnosis Details – Systemic Illness – Dairrhea x 2 weeks ,,Misc,N/A,Dairrhea x 2 weeks,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Confirmed Diagnosis Details – Systemic Illness – Reported weight loss > 10%,,Misc,N/A,Reported weight loss > 10%,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Confirmed Diagnosis Details – Systemic Illness,,Misc,Coded,Systemic Illness,,,,,,KS_DST – Final Diagnosis & Staging – Confirmed Diagnosis Details – Systemic Illness – Night Sweats,KS_DST – Final Diagnosis & Staging – Confirmed Diagnosis Details – Systemic Illness – Unexplained fever,KS_DST – Final Diagnosis & Staging – Confirmed Diagnosis Details – Systemic Illness – Dairrhea x 2 weeks ,KS_DST – Final Diagnosis & Staging – Confirmed Diagnosis Details – Systemic Illness – Reported weight loss > 10%,,
KS_DST – Final Diagnosis & Staging – Confirmed Diagnosis Details – Other HIV related illness – Thrust / Yeast,,Misc,N/A,Thrust / Yeast,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Confirmed Diagnosis Details – Other HIV related illness – HIV-Related Neuropathy,,Misc,N/A,HIV-Related Neuropathy,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Confirmed Diagnosis Details – Other HIV related illness – HIV-Related Lymphoma,,Misc,N/A,HIV-Related Lymphoma,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Confirmed Diagnosis Details – Other HIV related illness – Other,,Misc,N/A,Other,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Confirmed Diagnosis Details – Other HIV related illness – Other – Other detais,,Misc,Text,Other Details,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Confirmed Diagnosis Details – Other HIV related illness,,Misc,Coded,Other HIV related illness,,,,,,KS_DST – Final Diagnosis & Staging – Confirmed Diagnosis Details – Other HIV related illness – Thrust / Yeast,KS_DST – Final Diagnosis & Staging – Confirmed Diagnosis Details – Other HIV related illness – HIV-Related Neuropathy,KS_DST – Final Diagnosis & Staging – Confirmed Diagnosis Details – Other HIV related illness – HIV-Related Lymphoma,KS_DST – Final Diagnosis & Staging – Confirmed Diagnosis Details – Other HIV related illness – Other,,
KS_DST – Final Diagnosis & Staging – Imaging studies – Chest X-Ray,,Misc,Boolean,Chest X-Ray,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Imaging studies – Chest X-Ray – Study date,,Misc,Date,Study date,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Imaging studies – Chest X-Ray – Site - Butaro,,Misc,N/A,Butaro,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Imaging studies – Chest X-Ray – Site – CHUK,,Misc,N/A,CHUK,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Imaging studies – Chest X-Ray – Site – KHF,,Misc,N/A,KHF,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Imaging studies – Chest X-Ray – Site – Other,,Misc,N/A,Other,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Imaging studies – Chest X-Ray – Site – Other – Other details,,Misc,Text,Other Details,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Imaging studies – Chest X-Ray – Site,,Misc,Coded,Site,,,,,,KS_DST – Final Diagnosis & Staging – Imaging studies – Chest X-Ray – Site - Butaro,KS_DST – Final Diagnosis & Staging – Imaging studies – Chest X-Ray – Site – CHUK,KS_DST – Final Diagnosis & Staging – Imaging studies – Chest X-Ray – Site – KHF,KS_DST – Final Diagnosis & Staging – Imaging studies – Chest X-Ray – Site – Other,,
KS_DST – Final Diagnosis & Staging – Imaging studies – Abdominal  / Pelvic Ultrasound,,Misc,Boolean,Abdominal  / Pelvic Ultrasound,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Imaging studies – Abdominal  / Pelvic Ultrasound – Study date,,Misc,Date,Study date,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Imaging studies – Abdominal  / Pelvic Ultrasound – Site - Butaro,,Misc,N/A,Butaro,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Imaging studies – Abdominal  / Pelvic Ultrasound – Site – CHUK,,Misc,N/A,CHUK,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Imaging studies – Abdominal  / Pelvic Ultrasound – Site – KHF,,Misc,N/A,KHF,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Imaging studies – Abdominal  / Pelvic Ultrasound – Site – Other,,Misc,N/A,Other,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Imaging studies – Abdominal  / Pelvic Ultrasound – Site – Other – Other details,,Misc,Text,Other Details,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Imaging studies – Abdominal  / Pelvic Ultrasound – Site,,Misc,Coded,Site,,,,,,KS_DST – Final Diagnosis & Staging – Imaging studies – Abdominal  / Pelvic Ultrasound – Site - Butaro,KS_DST – Final Diagnosis & Staging – Imaging studies – Abdominal  / Pelvic Ultrasound – Site – CHUK,KS_DST – Final Diagnosis & Staging – Imaging studies – Abdominal  / Pelvic Ultrasound – Site – KHF,KS_DST – Final Diagnosis & Staging – Imaging studies – Abdominal  / Pelvic Ultrasound – Site – Other,,
KS_DST – Final Diagnosis & Staging – Imaging studies – CT Scan of Chest / Abdomen / Pelvis,,Misc,Boolean,CT Scan of Chest / Abdomen / Pelvis,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Imaging studies – CT Scan of Chest / Abdomen / Pelvis – Study date,,Misc,Date,Study date,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Imaging studies – CT Scan of Chest / Abdomen / Pelvis – Site - Butaro,,Misc,N/A,Butaro,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Imaging studies – CT Scan of Chest / Abdomen / Pelvis – Site – CHUK,,Misc,N/A,CHUK,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Imaging studies – CT Scan of Chest / Abdomen / Pelvis – Site – KHF,,Misc,N/A,KHF,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Imaging studies – CT Scan of Chest / Abdomen / Pelvis – Site – Other,,Misc,N/A,Other,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Imaging studies – CT Scan of Chest / Abdomen / Pelvis – Site – Other – Other details,,Misc,Text,Other Details,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Imaging studies – CT Scan of Chest / Abdomen / Pelvis – Site,,Misc,Coded,Site,,,,,,KS_DST – Final Diagnosis & Staging – Imaging studies – CT Scan of Chest / Abdomen / Pelvis – Site - Butaro,KS_DST – Final Diagnosis & Staging – Imaging studies – CT Scan of Chest / Abdomen / Pelvis – Site – CHUK,KS_DST – Final Diagnosis & Staging – Imaging studies – CT Scan of Chest / Abdomen / Pelvis – Site – KHF,KS_DST – Final Diagnosis & Staging – Imaging studies – CT Scan of Chest / Abdomen / Pelvis – Site – Other,,
KS_DST – Final Diagnosis & Staging – Imaging studies – Other,,Misc,Boolean,Other,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Imaging studies – Other – Study date,,Misc,Date,Study date,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Imaging studies – Other – Site – Other – Other details,,Misc,Text,Other Details,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Imaging studies – None,,Misc,Boolean,None,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Imaging studies – Imaging Assessment & Findings,,Misc,Text,Imaging Assessment & Findings,,,,,,,,,,,
KS_DST – Final Disease Staging – Confirmed Disease Stage – ECOG Functional Status,,Misc,Text,ECOG Functional Status,,,,,,,,,,,
KS_DST – Final Disease Staging – Confirmed Disease Stage – TIS Staging – T - 0,,Misc,N/A,0,,,,,,,,,,,
KS_DST – Final Disease Staging – Confirmed Disease Stage – TIS Staging – T – 1,,Misc,N/A,1,,,,,,,,,,,
KS_DST – Final Disease Staging – Confirmed Disease Stage – TIS Staging – T,,Misc,Coded,T,,,,,,KS_DST – Final Disease Staging – Confirmed Disease Stage – TIS Staging – T - 0,KS_DST – Final Disease Staging – Confirmed Disease Stage – TIS Staging – T – 1,,,,
KS_DST – Final Disease Staging – Confirmed Disease Stage – TIS Staging – I - 0,,Misc,N/A,0,,,,,,,,,,,
KS_DST – Final Disease Staging – Confirmed Disease Stage – TIS Staging – I – 1,,Misc,N/A,1,,,,,,,,,,,
KS_DST – Final Disease Staging – Confirmed Disease Stage – TIS Staging – I,,Misc,Coded,I,,,,,,KS_DST – Final Disease Staging – Confirmed Disease Stage – TIS Staging – I - 0,KS_DST – Final Disease Staging – Confirmed Disease Stage – TIS Staging – I – 1,,,,
KS_DST – Final Disease Staging – Confirmed Disease Stage – TIS Staging – S - 0,,Misc,N/A,0,,,,,,,,,,,
KS_DST – Final Disease Staging – Confirmed Disease Stage – TIS Staging – S – 1,,Misc,N/A,1,,,,,,,,,,,
KS_DST – Final Disease Staging – Confirmed Disease Stage – TIS Staging – S,,Misc,Coded,S,,,,,,KS_DST – Final Disease Staging – Confirmed Disease Stage – TIS Staging – S - 0,KS_DST – Final Disease Staging – Confirmed Disease Stage – TIS Staging – S – 1,,,,
KS_DST – Final Disease Staging – Confirmed Disease Stage – ACTG Clustered Stage – I,,Misc,N/A,I,,,,,,,,,,,
KS_DST – Final Disease Staging – Confirmed Disease Stage – ACTG Clustered Stage – II,,Misc,N/A,II,,,,,,,,,,,
KS_DST – Final Disease Staging – Confirmed Disease Stage – ACTG Clustered Stage – III,,Misc,N/A,III,,,,,,,,,,,
KS_DST – Final Disease Staging – Confirmed Disease Stage – ACTG Clustered Stage,,Misc,Coded,ACTG Clustered Stage,,,,,,KS_DST – Final Disease Staging – Confirmed Disease Stage – ACTG Clustered Stage – I,KS_DST – Final Disease Staging – Confirmed Disease Stage – ACTG Clustered Stage – II,KS_DST – Final Disease Staging – Confirmed Disease Stage – ACTG Clustered Stage – III,,,
KS_DST – Treatment – Intent – Palliative systemic therapy,,Misc,N/A,Palliative systemic therapy,,,,,,,,,,,
KS_DST – Treatment – Intent – Palliation Only,,Misc,N/A,Palliation Only,,,,,,,,,,,
KS_DST – Treatment – Intent,,Misc,Coded,Intent,,,,,,KS_DST – Treatment – Intent – Palliative systemic therapy,KS_DST – Treatment – Intent – Palliation Only,,,,
KS_DST – Treatment – Chemotherapy - Planned,,Misc,N/A,Planned,,,,,,,,,,,
KS_DST – Treatment – Chemotherapy – Not Planned,,Misc,N/A,Not Planned,,,,,,,,,,,
KS_DST – Treatment – Chemotherapy,,Misc,Coded,Chemotherapy,,,,,,KS_DST – Treatment – Chemotherapy - Planned,KS_DST – Treatment – Chemotherapy – Not Planned,,,,
KS_DST – Treatment – Chemotherapy – Regimen - Paclitaxel,,Misc,Boolean,Paclitaxel,,,,,,,,,,,
KS_DST – Treatment – Chemotherapy – Regimen - Other,,Misc,Boolean,Other,,,,,,,,,,,
KS_DST – Treatment – Chemotherapy – Regimen – Other – Other details,,Misc,Text,Other Details,,,,,,,,,,,
KS_DST – Treatment – Chemotherapy – Cycles,,Misc,Text,Cycles,,,,,,,,,,,
KS_DST – Treatment – Chemotherapy – Planned first cycle,,Misc,Date,Planned first cycle – Start Date,,,,,,,,,,,
KS_DST – Treatment – Chemotherapy – Planned regimen end ,,Misc,Date,Planned regimen end – End Date,,,,,,,,,,,
KS_DST – Treatment – Chemotherapy – Planned changes to regimen,,Misc,Text,Planned changes to regimen,,,,,,,,,,,
KS_DST – Treatment – Radiation Therapy - Planned,,Misc,N/A,Planned,,,,,,,,,,,
KS_DST – Treatment – Radiation Therapy – Not Planned,,Misc,N/A,Not Planned,,,,,,,,,,,
KS_DST – Treatment – Radiation Therapy,,Misc,Coded,Radiation Therapy,,,,,,KS_DST – Treatment – Radiation Therapy - Planned,KS_DST – Treatment – Radiation Therapy – Not Planned,,,,
KS_DST – Treatment – Radiation Therapy – Facility,,Misc,Text,Facility,,,,,,,,,,,
KS_DST – Treatment – Radiation Therapy – Planned Date – Start Date,,Misc,Date,Planned Start Date,,,,,,,,,,,
KS_DST – Treatment - Specialist consulted – Oncologist,,Misc,Text,Consulted Oncologist,,,,,,,,,,,
KS_DST – Treatment – Specialist consulted – Surgeon,,Misc,Text,Consulted Surgeon,,,,,,,,,,,
KS_DST – Treatment – Specialist consulted – Staging and treatment plan confirmed by,,Misc,Text,Staging and treatment plan confirmed by,,,,,,,,,,,
