uuid,name,description,class,shortname,datatype,units,High Normal,Low Normal,synonym.1,synonym.2,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,reference-term-source,reference-term-code,reference-term-relationship,reference-term-source,reference-term-code,reference-term-relationship
,"Chronic OPD Details, Heme / Lymph",,Misc,Heme / Lymph,Coded,,,,,,Purpura,Petechial,Excessive Bleeding,,,,,,,,,,,,,,,
,"Chronic OPD Details, Allergic / Immunologic",,Misc,Allergic / Immunologic,Coded,,,,,,Swelling,Choking,,,,,,,,,,,,,,,,
,"Chronic OPD Details, Current Home Medications",,Misc,Current Home Medications,Text,,,,,,,,,,,,,,,,,,,,,,,
,"Chronic OPD Details, Non Compliance",,Misc,Non Compliance,Boolean,,,,,,,,,,,,,,,,,,,,,,,
,"Chronic OPD Details, Non Compliance Reason",,Misc,Non Compliance reason,Text,,,,,,,,,,,,,,,,,,,,,,,
,"Chronic OPD Details, Allergies",,Misc,Allergies,Text,,,,,,,,,,,,,,,,,,,,,,,
,"Chronic OPD Details, Medical / Surgical History",,Misc,Past medical or surgical history,Text,,,,,,,,,,,,,,,,,,,,,,,
,"Chronic OPD Details, Family History",,Misc,Family History,Text,,,,,,,,,,,,,,,,,,,,,,,
,"Chronic OPD Details, Lives Where",,Misc,Lives where,Text,,,,,,,,,,,,,,,,,,,,,,,
,"Chronic OPD Details, Lives With",,Misc,Lives with,Text,,,,,,,,,,,,,,,,,,,,,,,
,"Chronic OPD Details, Work",,Misc,Work,Text,,,,,,,,,,,,,,,,,,,,,,,
,"Chronic OPD Details, Cigarette Smoker",Cigarettes/day or Packs/day? Years?,Misc,Cigaratte Smoker,Coded,,,,,,Current Smoker,Non-smoker,Former Smoker,,,,,,,,,,,,,,,
,"Chronic OPD Details, Other Forms of Tobacco",,Misc,Other Forms of Tobacco,Boolean,,,,,,,,,,,,,,,,,,,,,,,
,"Chronic OPD Details, Alcohol use","Drinks/day, Type of Alcohol",Misc,Alcohol use,Boolean,,,,,,,,,,,,,,,,,,,,,,,
,"Chronic OPD Details, Evidence of Alcohol abuse","CAGE Questionnaire<br>
Have you ever felt you needed to Cut down on your drinking?<br>
Have people Annoyed you by criticizing your drinking?<br>
Have you ever felt Guilty about drinking?<br>
Have you ever felt you needed a drink first thing in the morning (Eye-opener) to steady your nerves or to get rid of a hangover?",Misc,Evidence of Alcohol abuse,Boolean,,,,,,,,,,,,,,,,,,,,,,,
,"Chronic OPD Details, Illicit drug use",,Misc,Illicit drug use,Boolean,,,,,,,,,,,,,,,,,,,,,,,
,"Chronic OPD Details, Physical Examination Details","General <br>
HEENT<br>
CV<br>
Lungs<br>
Abdomen<br>
MSK<br>
Skin<br>
Neuro <br>
Psych<br>",Misc,Physical Examination Details,Text,,,,,,,,,,,,,,,,,,,,,,,
,"Chronic OPD Details, Lab Studies",,Misc,Lab Studies,Text,,,,,,,,,,,,,,,,,,,,,,,
,"Chronic OPD Details, Radiology",,Misc,Radiology,Text,,,,,,,,,,,,,,,,,,,,,,,
,"Chronic OPD Details, EKG",,Misc,EKG,Text,,,,,,,,,,,,,,,,,,,,,,,
,"Chronic OPD Details, Microbiology",,Misc,Microbiology,Text,,,,,,,,,,,,,,,,,,,,,,,
,"Chronic OPD Details, Problem","Most likely diagnosis and other differential diagnosis (space for 2-3 others)<br>
Stable, unstable, improved / worse / same<br>
Patient counseling and education on ____<br>
Diagnostic plan and orders<br>
Medication plan and prescription<br>",Misc,Problem,Text,,,,,,,,,,,,,,,,,,,,,,,
