uuid,name,description,class,datatype,shortname,synonym.1,synonym.2,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,,
,"Breast Cancer, Chemotherapy, Regimen Timing",,Misc,Coded,Regimen Timing,,,,,,Neoadjuvant,Adjuvant,Palliative,,,,,
,"Breast Cancer, Chemotherapy, Number of Cycles",,Misc,Numeric,Number of Cycles,,,,,,,,,,,,,
,"Breast Cancer, Chemotherapy, Planned First Cycle",,Misc,Date,Planned First Cycle,,,,,,,,,,,,,
,"Breast Cancer, Chemotherapy, Planned Regimen End",,Misc,Date,Planned Regimen End,,,,,,,,,,,,,
,"Breast Cancer, Chemotherapy, Planned changes to standard regimen",,Misc,Text,Planned changes to standard regimen,,,,,,,,,,,,,
,"Breast Cancer, Surgery, Planned Date",,Misc,Date,Planned Date,,,,,,,,,,,,,
,"Breast Cancer, Surgery, Modified Radical Mastectomy",,Misc,Boolean,MRM with Axillary Lymph Node Dissection,,,,,,,,,,,,,
,"Breast Cancer, Surgery, Other Surgery Type",,Misc,Text,Other Surgery Type,,,,,,,,,,,,,
,"Breast Cancer, Surgery, Surgical Pathology Report Date",,Misc,Date,Surgical Pathology Report Date,,,,,,,,,,,,,
,"Breast Cancer, Surgery, Pathologic N Stage",(If Surgical pathology is adequate),Misc,Coded,Pathologic N Stage,,,,,,pN0,pN1,pN2,pN3,,,,
,"Breast Cancer, Radiation Therapy, Planned Date",,Misc,Date,Planned Date,,,,,,,,,,,,,
