uuid,name,description,class,datatype,shortname,reference-term-code,reference-term-relationship,reference-term-source,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11
,"Out Patient Details, Lives Where",,Misc,Text,Lives where,,,,,,,,,,,,,,,
,"Out Patient Details, Lives With",,Misc,Text,Lives with,,,,,,,,,,,,,,,
,"Out Patient Details, Location",,Misc,Text,Location,,,,,,,,,,,,,,,
,"Out Patient Details, Medical / Surgical History",,Misc,Text,Past medical or surgical history,,,,,,,,,,,,,,,
,"Out Patient Details, Microbiology",,Misc,Text,Microbiology,,,,,,,,,,,,,,,
,"Out Patient Details, Modifying Factors",Anything make it better or worse,Misc,Text,Modifying Factors,,,,,,,,,,,,,,,
,"Out Patient Details, MSK",,Misc,Coded,MSK,,,,,Pain,Stiffness,Joint Swelling,ROM,Functional Deficits,,,,,,
,"Out Patient Details, Neuro",,Misc,Coded,Neuro,,,,,Change in Shight,Change in Smell,Change in Hearing,Change in Taste,Seizures,Faints,Parasthesias,Numbness,Weakness,Balance,Change in Speech
,"Out Patient Details, Non Compliance",,Misc,Boolean,Non Compliance,,,,,,,,,,,,,,,
,"Out Patient Details, Non Compliance Reason",,Misc,Text,Non Compliance reason,,,,,,,,,,,,,,,
,"Out Patient Details, Physical Examination Details","General <br>
HEENT<br>
CV<br>
Lungs<br>
Abdomen<br>
MSK<br>
Skin<br>
Neuro <br>
Psych<br>",Misc,Text,Physical Examination Details,,,,,,,,,,,,,,,
,"Out Patient Details, Problem 1","Most likely diagnosis and other differential diagnosis (space for 2-3 others)<br>
Stable, unstable, improved / worse / same<br>
Patient counseling and education on ____<br>
Diagnostic plan and orders<br>
Medication plan and prescription<br>",Misc,Text,Problem 1,,,,,,,,,,,,,,,
,"Out Patient Details, Problem 2","Most likely diagnosis and other differential diagnosis (space for 2-3 others)<br>
Stable, unstable, improved / worse / same<br>
Patient counseling and education on ____<br>
Diagnostic plan and orders<br>
Medication plan and prescription<br>",Misc,Text,Problem 2,,,,,,,,,,,,,,,
,"Out Patient Details, Problem 3","Dispo: Follow-up/return to OPD or referral <br>

Does this patient meet criteria to be referred to one of our chronic disease specialty clinics? <br>
- HIV<br>
- TB<br>
etc ",Misc,Text,Problem 3,,,,,,,,,,,,,,,
,"Out Patient Details, Psych",,Misc,Coded,Psych,,,,,Depression,Sleep Changes,Anxiety,Performance,Paranoia,Lack of Energy,Mania,,,,
,"Out Patient Details, Pulse",,Misc,Numeric,Pulse,,,,,,,,,,,,,,,
,"Out Patient Details, Pulse Abnormal",,Abnormal,Boolean,Pulse Abnormal,,,,,,,,,,,,,,,
,"Out Patient Details, Quality",,Misc,Coded,Quality,,,,,Sharp,Burning,Radiating,Crampy,Tingling,Pressure,,,,,
,"Out Patient Details, Radiology",,Misc,Text,Radiology,,,,,,,,,,,,,,,
,"Out Patient Details, Regularity",,Misc,Boolean,Regularity,,,,,,,,,,,,,,,
,"Out Patient Details, Respair",,Misc,Coded,Respair,,,,,Cough,Sputum,Wheeze,Hemoptysis,SOB,,,,,,
,"Out Patient Details, RR",,Misc,Numeric,RR,,,,,,,,,,,,,,,
,"Out Patient Details, RR Abnormal",,Abnormal,Boolean,RR Abnormal,,,,,,,,,,,,,,,
,"Out Patient Details, SAT",,Misc,Numeric,SAT,,,,,,,,,,,,,,,
,"Out Patient Details, SAT Abnormal",,Abnormal,Boolean,SAT Abnormal,,,,,,,,,,,,,,,
,"Out Patient Details, Severity",,Misc,Numeric,Severity,,,,,,,,,,,,,,,
,"Out Patient Details, Skin / Breast",,Misc,Coded,Skin / Breast,,,,,Pruritus,General rash,Wound,Nodules,Tumors,Dryness,Lumps,Nipple Discharge,,,
,"Out Patient Details, Systolic",,Misc,Numeric,Systolic,,,,,,,,,,,,,,,
,"Out Patient Details, Systolic Abnormal",,Abnormal,Boolean,Systolic Abnormal,,,,,,,,,,,,,,,
,"Out Patient Details, Temperature",,Misc,Numeric,Temperature,,,,,,,,,,,,,,,
,"Out Patient Details, Temperature Abnormal",,Abnormal,Boolean,Temperature Abnormal,,,,,,,,,,,,,,,
,"Out Patient Details, Timing","Constant / Intermittent, how long dies it last",Misc,Text,Timing,,,,,,,,,,,,,,,
,"Out Patient Details, Tobacco Exposure",,Misc,Boolean,Exposed to Tobacco,,,,,,,,,,,,,,,
,"Out Patient Details, Urinary",,Misc,Coded,Urinary,,,,,Dysuria,Incontinence,Nocturia,Polyuria,Decreased Stream,,,,,,
,"Out Patient Details, Work",,Misc,Text,Work,,,,,,,,,,,,,,,
