uuid,name,description,class,datatype,shortname,reference-term-code,reference-term-relationship,reference-term-source,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,answer.13,answer.14,answer.15,answer.16
,"ART, HIV diagnosis result within 2m",,Misc,Coded,Result,,,,,Negative,Positive,,,,,,,,,,,,,,
,"ART, HIV diagnosed date 2-9m",,Misc,Date,Diagnosed Date,,,,,,,,,,,,,,,,,,,,
,"ART, HIV diagnosis result 2-9m",,Misc,Coded,Result,,,,,Negative,Positive,,,,,,,,,,,,,,
,"ART, HIV diagnosed date 9-18m",,Misc,Date,Diagnosed Date,,,,,,,,,,,,,,,,,,,,
,"ART, HIV diagnosis result 9-18m",,Misc,Coded,Result,,,,,Negative,Positive,,,,,,,,,,,,,,
,"ART, HIV diagnosed date after 18m",,Misc,Date,Diagnosed Date,,,,,,,,,,,,,,,,,,,,
,"ART, HIV diagnosis result after 18m",,Misc,Coded,Result,,,,,Negative,Positive,,,,,,,,,,,,,,
,"ART, CPT Prophylaxis start date after 6wks",,Misc,Date,CPT Prophylaxis start date after 6wks,,,,,,,,,,,,,,,,,,,,
,"ART, Viral Load",,Misc,Text,Viral Load,,,,,,,,,,,,,,,,,,,,
,"ART, Viral Load date",,Misc,Date,Viral Load date,,,,,,,,,,,,,,,,,,,,
,"ART, TB Type",,Misc,Coded,TB Type,,,,,Extra Pulmonary,Pulmonary(BC),Pulmonary(CD),,,,,,,,,,,,,
,"ART, TB treatment category",III for less than 14yrs,Misc,Coded,TB treatment category,,,,,Category I,Category II,Category III,,,,,,,,,,,,,
,"ART, TB registration number",,Misc,Text,Registration number,,,,,,,,,,,,,,,,,,,,
,"ART, TB registration date",,Misc,Date,Registration date,,,,,,,,,,,,,,,,,,,,
,"ART, Name of health facility for TB",,Misc,Text,Name of health facility,,,,,,,,,,,,,,,,,,,,
,"ART, TB regimen start date",,Misc,Date,TB regimen start date,,,,,,,,,,,,,,,,,,,,
,"ART, TB regimen",,Misc,Date,TB regimen,,,,,,,,,,,,,,,,,,,,
,"ART, Previous TB treatment outcome",,Misc,Coded,Previous treatment outcome,,,,,Cured,Completed,Failure,Lost to Follow-up,Not evaluated,,,,,,,,,,,
,"ART, Previous TB treatment outcome date",,Misc,Date,Previous treatment outcome date,,,,,,,,,,,,,,,,,,,,
,"ART, TB new regimen start date",,Misc,Date,New regimen start date,,,,,,,,,,,,,,,,,,,,
,"ART, TB new regimen",,Misc,Text,New regimen,,,,,,,,,,,,,,,,,,,,
,"ART, Previous ART regimen",,Misc,Text,Started regimen,,,,,,,,,,,,,,,,,,,,
,"ART, Previous ART regimen start date",,Misc,Date,Regimen Start Date,,,,,,,,,,,,,,,,,,,,
,"ART, Treatment substitution",,Misc,Boolean,Treatment substitution,,,,,,,,,,,,,,,,,,,,
,"ART, Reason for treatment substitution",,Misc,Coded,Reason for treatment substitution,,,,,Toxicity side effects,Pregnancy,Risk of pregnancy,Newly diagnosed TB,New drug available,Drug stockout,Others,,,,,,,,,
,"ART, Other reason for treatment substitution",,Misc,Text,Others (Specify),,,,,,,,,,,,,,,,,,,,
,"ART, Treatment switch",,Misc,Boolean,Treatment switch,,,,,,,,,,,,,,,,,,,,
,"ART, Reason for treatment switching",,Misc,Coded,Reason for treatment switching,,,,,Clinical treatment failure,Immunological failure,Virologic failure,,,,,,,,,,,,,
,"ART, Treatment stop",,Misc,Boolean,Stop treatment,,,,,,,,,,,,,,,,,,,,
,"ART, Reason for stopping treatment",,Misc,Coded,Reason for stopping treatment,,,,,Toxicity side effects,Pregnancy,Treatment failure,Poor adherence,Illness hospitalization,Drug stockout,Patient lack of finance,Patient decision,Planned treatment interruption,Others,,,,,,
,"ART, Other reason for stopping treatment",,Misc,Text,Others (Specify),,,,,,,,,,,,,,,,,,,,
,"ART, ART treatment restart",,Misc,Boolean,Treatment Restart,,,,,,,,,,,,,,,,,,,,
,"ART, ART new regimen",,Misc,Text,New regimen,,,,,,,,,,,,,,,,,,,,
,"ART, Reason for end of follow-up",“Lost to Follow-up” only if its been more than 3months,Misc,Coded,Reason for end of follow-up,,,,,Lost to Follow-up,Transferred out,Missing,Death,,,,,,,,,,,,
,"ART, Date of last visit",,Misc,Date,Date of last visit,,,,,,,,,,,,,,,,,,,,
,"ART, Date of death",,Misc,Date,Date of death,,,,,,,,,,,,,,,,,,,,
,"ART, Name of health facility",,Misc,Text,Name of HF,,,,,,,,,,,,,,,,,,,,
,"ART, Mortality code",,Misc,Text,Mortality code,,,,,,,,,,,,,,,,,,,,
,"ART, ART date of visit",,Misc,Date,Date of visit,,,,,,,,,,,,,,,,,,,,
,"ART, ART date of next visit",,Misc,Date,Date of next visit,,,,,,,,,,,,,,,,,,,,
,"ART, ART weight (kg)",,Misc,Numeric,Weight,,,,,,,,,,,,,,,,,,,,
,"ART, ART height (cm)",For children,Misc,Numeric,Height,,,,,,,,,,,,,,,,,,,,
,"ART, ART WHO staging",,Misc,Coded,WHO Stage,,,,,Stage I,Stage II,Stage III,Stage IV,,,,,,,,,,,,
,"ART, ART pregnancy",,Misc,Boolean,Pregnancy,,,,,,,,,,,,,,,,,,,,
,"ART, ART Family Planning method",,Misc,Coded,FP method,,,,,Oral Contraceptives,Depo,Intra Uterine Contraceptive Device,Implant,Permanent,Refer for other FP services,,,,,,,,,,
,"ART, ART opportunistic infections",,Misc,Coded,Opportunistic infections,,,,,Bacterial Pneumonia,Tuberculosis,Candidiasis,Diarrhoea,Crypto Meningitis,Pneumocysitis Pneumonia,Cytomegato Virus,Herpes Zoster,Herpes Genitalis,Taxoplasmosis,Others,,,,,
,"ART, ART other opportunistic infections",,Misc,Text,Others (Specify),,,,,,,,,,,,,,,,,,,,
,"ART, ART drugs prescribed for prophylaxis",,Misc,Text,Drugs prescribed for prophylaxis,,,,,,,,,,,,,,,,,,,,
,"ART, ART ARV drugs and dose prescribed",,Misc,Text,ARV drugs and dose prescribed,,,,,,,,,,,,,,,,,,,,
,"ART, ART adherence to ART",A --> greater than 95%<br>B --> 80‐95% <br>C --> less than 80%,Misc,Coded,Adherence to ART,,,,,Adherence Level A,Adherence Level B,Adherence Level C,,,,,,,,,,,,,
,"ART, ART ART side effects",,Misc,Coded,ART side effects,,,,,Skin rash,Nau-nausea,Vomiting,Diarrhoea,Neuropathy,Jaundice,Anemia,Fatigue,Headache,Fever,Hypersensitivity,Depression,Pancreatitis,Lipodystrophy,Drowsiness,Others
,"ART, ART Other ART side effects",,Misc,Text,Others (Specify),,,,,,,,,,,,,,,,,,,,
,"ART, ART lab results when available",,Misc,Text,Lab results when available,,,,,,,,,,,,,,,,,,,,
,"ART, ART condoms given",,Misc,Boolean,Condoms given,,,,,,,,,,,,,,,,,,,,
,"ART, ART referred to",Specialist/Hospital/Other,Misc,Text,Referred to,,,,,,,,,,,,,,,,,,,,
